fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq
0	GMseq_to_K562	10143	0.3774	0.291	0.0542	-0.522	-0.1925
0	GMmm_to_K562	10143	0.84	0.6002	0.4216	0.0412	0.083
0	GMresSeq_to_K562	10143	0.8404	0.5843	0.3722	0.0419	0.0642
0	GMresMM_to_K562	10143	0.8469	0.6034	0.415	0.0528	0.0869
0	atac_LOCAL	10143	0.8151	0.5265		0.0	0.0
1	GMseq_to_K562	14392	0.4497	0.3077	0.1318	-0.4612	-0.1457
1	GMmm_to_K562	14392	0.84	0.5813	0.4252	0.0423	0.0974
1	GMresSeq_to_K562	14392	0.8423	0.5708	0.3798	0.0462	0.0854
1	GMresMM_to_K562	14392	0.8481	0.5831	0.4212	0.056	0.0996
1	atac_LOCAL	14392	0.8145	0.4903		0.0	0.0
2	GMseq_to_K562	12801	0.3765	0.3278	0.1193	-0.4827	-0.2454
2	GMmm_to_K562	12801	0.7895	0.5848	0.3172	-0.0011	-0.0109
2	GMresSeq_to_K562	12801	0.8112	0.6019	0.3271	0.0337	0.0094
2	GMresMM_to_K562	12801	0.8058	0.6242	0.3058	0.0249	0.0367
2	atac_LOCAL	12801	0.7902	0.594		0.0	0.0
3	GMseq_to_K562	12021	0.3769	0.3742	0.038	-0.5546	-0.1924
3	GMmm_to_K562	12021	0.8404	0.624	0.3509	0.0097	0.0569
3	GMresSeq_to_K562	12021	0.8447	0.613	0.2763	0.0169	0.0433
3	GMresMM_to_K562	12021	0.853	0.6122	0.339	0.0309	0.0423
3	atac_LOCAL	12021	0.8346	0.5766		0.0	0.0
4	GMseq_to_K562	9298	0.371	0.2847	-0.0086	-0.5245	-0.2301
4	GMmm_to_K562	9298	0.8325	0.6195	0.3982	0.0308	0.0726
4	GMresSeq_to_K562	9298	0.8325	0.5974	0.3389	0.0309	0.0458
4	GMresMM_to_K562	9298	0.844	0.6094	0.4077	0.0502	0.0603
4	atac_LOCAL	9298	0.8138	0.5578		0.0	0.0
