config	mode	stratum	n	overall_pearson	residual_pearson	residual_spearman	incremental_r2
GMseq_to_K562	sequence	all	58655	0.3968	0.0809	0.063	-0.5045
GMseq_to_K562	sequence	abs_resid_q1	11731	0.4647	0.0245	0.0256	-0.7751
GMseq_to_K562	sequence	abs_resid_q2	11731	0.4562	0.0527	0.0522	-0.7289
GMseq_to_K562	sequence	abs_resid_q3	11731	0.432	0.0493	0.0476	-0.6518
GMseq_to_K562	sequence	abs_resid_q4	11731	0.393	0.0777	0.0636	-0.5231
GMseq_to_K562	sequence	abs_resid_q5	11731	0.3194	0.1301	0.1047	-0.2456
GMmm_to_K562	multimodal	all	58655	0.8239	0.3743	0.3288	0.0169
GMmm_to_K562	multimodal	abs_resid_q1	11731	0.9109	0.0726	0.0693	-0.1612
GMmm_to_K562	multimodal	abs_resid_q2	11731	0.8959	0.1344	0.1268	-0.1344
GMmm_to_K562	multimodal	abs_resid_q3	11731	0.8699	0.2296	0.2082	-0.0817
GMmm_to_K562	multimodal	abs_resid_q4	11731	0.8288	0.3635	0.3235	0.0093
GMmm_to_K562	multimodal	abs_resid_q5	11731	0.7382	0.5521	0.5251	0.1974
GMresSeq_to_K562	sequence	all	58655	0.835	0.3447	0.2831	0.0353
GMresSeq_to_K562	sequence	abs_resid_q1	11731	0.9573	0.0476	0.0395	-0.0747
GMresSeq_to_K562	sequence	abs_resid_q2	11731	0.9371	0.1225	0.101	-0.059
GMresSeq_to_K562	sequence	abs_resid_q3	11731	0.9002	0.2057	0.1745	-0.028
GMresSeq_to_K562	sequence	abs_resid_q4	11731	0.8388	0.3201	0.2727	0.026
GMresSeq_to_K562	sequence	abs_resid_q5	11731	0.7042	0.5103	0.4793	0.1484
GMresMM_to_K562	multimodal	all	58655	0.8396	0.3791	0.3171	0.0429
GMresMM_to_K562	multimodal	abs_resid_q1	11731	0.9513	0.0669	0.0573	-0.086
GMresMM_to_K562	multimodal	abs_resid_q2	11731	0.9333	0.1382	0.1227	-0.0661
GMresMM_to_K562	multimodal	abs_resid_q3	11731	0.9003	0.2385	0.2048	-0.028
GMresMM_to_K562	multimodal	abs_resid_q4	11731	0.8421	0.3516	0.3027	0.0315
GMresMM_to_K562	multimodal	abs_resid_q5	11731	0.723	0.5447	0.5167	0.1752
