fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq
0	K562seq_to_GM	10800	0.3283	0.1082	0.0255	-0.5077	-0.1927
0	K562mm_to_GM	10800	0.7866	0.4694	0.2626	0.0033	0.016
0	K562resSeq_to_GM	10800	0.7958	0.5137	0.2469	0.0178	0.0596
0	K562resMM_to_GM	10800	0.7929	0.5001	0.2489	0.0132	0.0457
0	atac_LOCAL	10800	0.7846	0.4521		0.0	0.0
1	K562seq_to_GM	14362	0.3979	0.1448	0.0814	-0.4479	-0.2147
1	K562mm_to_GM	14362	0.8019	0.5373	0.3177	0.0368	0.053
1	K562resSeq_to_GM	14362	0.7981	0.5248	0.2901	0.0308	0.0398
1	K562resMM_to_GM	14362	0.8032	0.5325	0.3162	0.0388	0.048
1	atac_LOCAL	14362	0.7786	0.4854		0.0	0.0
2	K562seq_to_GM	10491	0.3669	0.1702	0.0678	-0.4508	-0.2292
2	K562mm_to_GM	10491	0.7757	0.5338	0.2792	0.0164	0.0268
2	K562resSeq_to_GM	10491	0.7756	0.5435	0.2314	0.0161	0.0373
2	K562resMM_to_GM	10491	0.783	0.5627	0.2819	0.0276	0.0585
2	atac_LOCAL	10491	0.7651	0.5081		0.0	0.0
3	K562seq_to_GM	11028	0.352	0.1574	0.0171	-0.499	-0.2334
3	K562mm_to_GM	11028	0.7898	0.5169	0.2318	0.0008	0.009
3	K562resSeq_to_GM	11028	0.7973	0.5362	0.2188	0.0128	0.0294
3	K562resMM_to_GM	11028	0.7964	0.5225	0.2348	0.0113	0.0149
3	atac_LOCAL	11028	0.7893	0.5081		0.0	0.0
4	K562seq_to_GM	10463	0.3227	0.152	0.0436	-0.4728	-0.2441
4	K562mm_to_GM	10463	0.7703	0.5412	0.2581	0.0164	0.0257
4	K562resSeq_to_GM	10463	0.7675	0.5459	0.2073	0.0122	0.0307
4	K562resMM_to_GM	10463	0.7746	0.5419	0.253	0.023	0.0264
4	atac_LOCAL	10463	0.7596	0.517		0.0	0.0
