config	mode	stratum	n	overall_pearson	residual_pearson	residual_spearman	incremental_r2
K562seq_to_GM	sequence	all	57144	0.358	0.0489	0.0154	-0.4747
K562seq_to_GM	sequence	abs_resid_q1	11429	0.4926	-0.0302	-0.0261	-0.747
K562seq_to_GM	sequence	abs_resid_q2	11429	0.4719	-0.0356	-0.0335	-0.7058
K562seq_to_GM	sequence	abs_resid_q3	11428	0.4115	-0.0618	-0.0582	-0.6405
K562seq_to_GM	sequence	abs_resid_q4	11429	0.3131	-0.0826	-0.0614	-0.5292
K562seq_to_GM	sequence	abs_resid_q5	11429	0.1615	0.2228	0.2382	-0.088
K562mm_to_GM	multimodal	all	57144	0.7866	0.2743	0.2508	0.016
K562mm_to_GM	multimodal	abs_resid_q1	11429	0.9468	0.0498	0.0493	-0.0932
K562mm_to_GM	multimodal	abs_resid_q2	11429	0.9225	0.127	0.116	-0.0776
K562mm_to_GM	multimodal	abs_resid_q3	11428	0.875	0.2129	0.2001	-0.0442
K562mm_to_GM	multimodal	abs_resid_q4	11429	0.7944	0.286	0.2536	0.0039
K562mm_to_GM	multimodal	abs_resid_q5	11429	0.4982	0.3935	0.3511	0.134
K562resSeq_to_GM	sequence	all	57144	0.7883	0.2423	0.1898	0.0186
K562resSeq_to_GM	sequence	abs_resid_q1	11429	0.9662	0.0243	0.0236	-0.056
K562resSeq_to_GM	sequence	abs_resid_q2	11429	0.9416	0.0908	0.0714	-0.042
K562resSeq_to_GM	sequence	abs_resid_q3	11428	0.8898	0.1626	0.1218	-0.0181
K562resSeq_to_GM	sequence	abs_resid_q4	11429	0.8019	0.242	0.1942	0.0158
K562resSeq_to_GM	sequence	abs_resid_q5	11429	0.4445	0.3797	0.3252	0.0835
K562resMM_to_GM	multimodal	all	57144	0.7916	0.2717	0.2316	0.0239
K562resMM_to_GM	multimodal	abs_resid_q1	11429	0.9618	0.0426	0.0411	-0.0646
K562resMM_to_GM	multimodal	abs_resid_q2	11429	0.9365	0.1152	0.0974	-0.0515
K562resMM_to_GM	multimodal	abs_resid_q3	11428	0.8863	0.2014	0.1652	-0.0243
K562resMM_to_GM	multimodal	abs_resid_q4	11429	0.8011	0.2779	0.237	0.0145
K562resMM_to_GM	multimodal	abs_resid_q5	11429	0.4755	0.394	0.3465	0.112
