fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	sequence_narrow	10800	2175	0.4751	0.2069	0.1474	-0.4118	-0.1867	0.0398	0.5595	0.1089
0	sequence_WIDE	10800	2175	0.5364	0.2409	0.1739	-0.3498	-0.1715	0.0403	0.5594	0.1105
0	multimodal_narrow	10800	2175	0.8341	0.5661	0.4081	0.0583	0.091	0.0481	0.5576	0.1336
0	multimodal_WIDE	10800	2175	0.8478	0.5762	0.4764	0.0813	0.1025	0.0481	0.5575	0.134
0	atac_narrow	10800	2175	0.7984	0.479		0.0	0.0	0.0306	0.561	0.091
1	sequence_narrow	14362	2898	0.5071	0.2169	0.2101	-0.3803	-0.2185	0.0466	0.5661	0.1227
1	sequence_WIDE	14362	2898	0.5404	0.1986	0.1958	-0.3454	-0.2261	0.0465	0.5662	0.1219
1	multimodal_narrow	14362	2898	0.8366	0.5621	0.4261	0.0625	0.0505	0.0568	0.5636	0.1516
1	multimodal_WIDE	14362	2898	0.8522	0.5711	0.5077	0.0888	0.0606	0.0569	0.5636	0.1522
1	atac_narrow	14362	2898	0.7984	0.5153		0.0	0.0	0.0366	0.5678	0.1041
2	sequence_narrow	10491	2110	0.4978	0.264	0.1543	-0.3636	-0.1917	0.0409	0.5617	0.1102
2	sequence_WIDE	10491	2110	0.5308	0.3159	0.1837	-0.3296	-0.1616	0.0415	0.5617	0.1131
2	multimodal_narrow	10491	2110	0.8159	0.5866	0.3812	0.0543	0.0827	0.0503	0.5596	0.138
2	multimodal_WIDE	10491	2110	0.8318	0.5973	0.4587	0.0805	0.0955	0.0502	0.5595	0.1383
2	atac_narrow	10491	2110	0.7819	0.5112		0.0	0.0	0.033	0.5632	0.0956
3	sequence_narrow	11028	2216	0.4528	0.203	0.0853	-0.4373	-0.2332	0.0423	0.5674	0.1121
3	sequence_WIDE	11028	2216	0.5197	0.2098	0.1359	-0.3722	-0.2304	0.0425	0.5674	0.1124
3	multimodal_narrow	11028	2216	0.8313	0.5839	0.3764	0.0487	0.0665	0.0525	0.5649	0.1409
3	multimodal_WIDE	11028	2216	0.8433	0.5932	0.4374	0.0688	0.0774	0.0522	0.5652	0.1402
3	atac_narrow	11028	2216	0.8014	0.5238		0.0	0.0	0.0333	0.5688	0.0945
4	sequence_narrow	10463	2113	0.4433	0.2167	0.1219	-0.4023	-0.2579	0.0392	0.5637	0.105
4	sequence_WIDE	10463	2113	0.4716	0.1925	0.1244	-0.3763	-0.2678	0.0394	0.5638	0.1063
4	multimodal_narrow	10463	2113	0.8126	0.5958	0.3922	0.0616	0.0501	0.0483	0.5617	0.1303
4	multimodal_WIDE	10463	2113	0.8276	0.625	0.4631	0.0861	0.0858	0.0486	0.5615	0.1314
4	atac_narrow	10463	2113	0.7738	0.5521		0.0	0.0	0.0312	0.565	0.088
