fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	sequence_narrow	10143	2052	0.4785	0.343	0.0524	-0.4701	-0.2086	0.0513	0.6008	0.134
0	sequence_WIDE	10143	2052	0.5374	0.3217	0.0785	-0.4104	-0.2228	0.0519	0.6008	0.135
0	multimodal_narrow	10143	2052	0.8842	0.6898	0.5273	0.0827	0.1496	0.0607	0.5983	0.1618
0	multimodal_WIDE	10143	2052	0.8903	0.708	0.5664	0.0934	0.175	0.0608	0.5982	0.1626
0	atac_narrow	10143	2052	0.8361	0.5712		0.0	0.0	0.0391	0.6036	0.1093
1	sequence_narrow	14392	2882	0.5477	0.4083	0.1467	-0.3908	-0.1118	0.0582	0.5998	0.1554
1	sequence_WIDE	14392	2882	0.5837	0.3738	0.1522	-0.3501	-0.1387	0.0583	0.5996	0.156
1	multimodal_narrow	14392	2882	0.8827	0.6836	0.5365	0.0884	0.1889	0.0684	0.5968	0.186
1	multimodal_WIDE	14392	2882	0.8905	0.7014	0.5763	0.1022	0.2135	0.0687	0.5965	0.1878
1	atac_narrow	14392	2882	0.8311	0.5277		0.0	0.0	0.0433	0.6034	0.1247
2	sequence_narrow	12801	2572	0.4848	0.4059	0.2375	-0.4068	-0.193	0.0549	0.61	0.143
2	sequence_WIDE	12801	2572	0.51	0.4093	0.2373	-0.3817	-0.1903	0.0547	0.6103	0.1425
2	multimodal_narrow	12801	2572	0.8474	0.6899	0.4692	0.0763	0.1182	0.0627	0.608	0.1666
2	multimodal_WIDE	12801	2572	0.8576	0.7135	0.5166	0.0937	0.1513	0.0632	0.6078	0.1684
2	atac_narrow	12801	2572	0.8011	0.5982		0.0	0.0	0.0396	0.6135	0.1089
3	sequence_narrow	12021	2406	0.4855	0.4257	0.13	-0.4849	-0.1899	0.0573	0.6111	0.1506
3	sequence_WIDE	12021	2406	0.5223	0.4334	0.1709	-0.4479	-0.1833	0.0572	0.6114	0.1515
3	multimodal_narrow	12021	2406	0.8847	0.6977	0.4718	0.0619	0.1157	0.0663	0.6089	0.1799
3	multimodal_WIDE	12021	2406	0.8937	0.7287	0.5309	0.0781	0.1599	0.0664	0.6086	0.1799
3	atac_narrow	12021	2406	0.8489	0.6092		0.0	0.0	0.0432	0.6142	0.1197
4	sequence_narrow	9298	1875	0.4724	0.3231	0.1032	-0.471	-0.2561	0.052	0.5987	0.1386
4	sequence_WIDE	9298	1875	0.5307	0.3361	0.1222	-0.4124	-0.2475	0.0523	0.599	0.1407
4	multimodal_narrow	9298	1875	0.8787	0.688	0.5035	0.0779	0.1129	0.06	0.5966	0.163
4	multimodal_WIDE	9298	1875	0.8867	0.733	0.5463	0.0921	0.1767	0.0605	0.5965	0.1643
4	atac_narrow	9298	1875	0.8331	0.6004		0.0	0.0	0.0382	0.6016	0.1068
