fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq
0	sequence_narrow	10800	0.4751	0.2069	0.1475	-0.4118	-0.1867
0	sequence_WIDE	10800	0.5364	0.2409	0.1739	-0.3498	-0.1714
0	atac_narrow	10800	0.7984	0.479		0.0	0.0
1	sequence_narrow	14362	0.5071	0.2169	0.2101	-0.3803	-0.2185
1	sequence_WIDE	14362	0.5404	0.1986	0.1958	-0.3454	-0.2261
1	atac_narrow	14362	0.7984	0.5153		0.0	0.0
2	sequence_narrow	10491	0.4978	0.264	0.1543	-0.3636	-0.1917
2	sequence_WIDE	10491	0.5308	0.3159	0.1837	-0.3296	-0.1616
2	atac_narrow	10491	0.7819	0.5112		0.0	0.0
3	sequence_narrow	11028	0.4528	0.203	0.0852	-0.4373	-0.2332
3	sequence_WIDE	11028	0.5197	0.2098	0.1359	-0.3722	-0.2304
3	atac_narrow	11028	0.8014	0.5239		0.0	0.0
4	sequence_narrow	10463	0.4433	0.2167	0.1218	-0.4023	-0.2579
4	sequence_WIDE	10463	0.4716	0.1925	0.1244	-0.3763	-0.2678
4	atac_narrow	10463	0.7738	0.5521		0.0	0.0
