motif	p300_pos_mean_density	p300_neg_mean_density	fold_change	mann_whitney_p
GATA_1	0.885030921689889	0.591308527863986	1.4967328895750212	0.0
FOS-JUN_0	2.1281946203710604	1.6231193496154366	1.3111756820249683	2.451145618710794e-264
NF2L-NFE_0	1.9069368899485881	1.513181419511537	1.2602169609233873	2.8658654316642214e-257
ELF_0	1.6181730124431861	1.2818529888004317	1.262370198809809	2.5525672932194982e-250
STAT_0	2.638961329260115	2.19482863311294	1.2023541561862272	2.3520970736442054e-186
TAL_0	3.3064600253334326	2.878196262312778	1.1487958859906389	3.856776985571616e-162
ATF-CEBP_0	1.251471574398331	1.0183426663068411	1.2289297263897139	6.503642026424253e-155
ATF-CREB-JUN_0	1.2114969078310112	0.9742443664822561	1.2435246734667402	1.4310589180635948e-129
RUNX_0	1.766820654198644	1.576836796653623	1.1204841603367945	1.0058340052341278e-55
RFX_1	1.0771552045302137	0.9339579678855755	1.1533229989498306	8.070688201772546e-42
CREB_0	0.6713359660233962	0.5909290244231548	1.1360686955004877	2.940842348366442e-34
NFI_0	1.7277401087847404	1.609204223451626	1.0736611820291506	1.251792848198926e-25
ZNF_3	9.471090082706207	9.175440223991364	1.032221871800611	0.00017426424608865988
ZNF_0	6.6467103792563895	6.514497031439752	1.0202952502820295	0.03515274815641951
NFI_1	1.9053349228820504	1.8601403319390095	1.0242963340263154	0.03617729360086705
E2F_1	0.7057223753818642	0.6709958170287411	1.0517537626415043	0.3131174732143732
CTCF_0	2.111951419417331	2.2754604641748752	0.9281424364761925	1.0
