motif	odds_ratio	p_value	p300_pos_freq	p300_neg_freq
GATA_1	1.7447645163605614	0.0	0.5657551598241561	0.4274979759816489
CTCF_0	0.6653736011890923	1.6833671659689446e-159	0.6904478056776693	0.7702317501012009
FOS-JUN_0	1.4186843157112519	7.777099615070364e-130	0.7022204008643171	0.6243759276750775
ELF_0	1.3793188783010961	1.505971285988699e-99	0.7510617688696818	0.6862602887599514
ATF-CREB-JUN_0	1.3238893594048324	2.792987171898475e-95	0.5505551002160792	0.48059472405883147
NF2L-NFE_0	1.386981612840908	9.730900012189852e-93	0.7895834885627002	0.7301308865200378
ATF-CEBP_0	1.306390392276195	8.487323696935407e-80	0.667722226361672	0.6060248279584401
STAT_0	1.260949834607394	2.4897489914390002e-33	0.8669994784293271	0.8379182971258939
RFX_1	1.1656042091790648	1.8821593122481775e-29	0.4624841666045749	0.4246812171097018
CREB_0	1.1563144095510165	2.0582684082858238e-26	0.4438193875270099	0.4083204021049791
TAL_0	1.2874502961676728	4.6553879366222656e-23	0.9307801207063557	0.912621441101066
RUNX_0	1.155060348966604	3.6192722844803406e-21	0.7426793830564041	0.7141833085953313
NFI_0	1.0860374556488528	5.157625206974459e-07	0.788763877505402	0.7746845904736203
ZNF_3	1.02849539325836	0.13487726424237004	0.8458758661798673	0.8421771690729996
NFI_1	0.9923094031143291	0.5823138415392264	0.6183220326354221	0.6201423559573607
E2F_1	0.993575187118224	0.6665714067258395	0.2914834960137099	0.29281642153555526
ZNF_0	0.9957597348352499	0.8037433667232836	0.8067953207659638	0.8074568209418432
