motif	metric	spearman_r	p_value
GATA_1	count	0.1646079656371389	0.0
NF2L-NFE_0	mean	0.11715499819551282	0.0
NF2L-NFE_0	max	0.1396745361556045	0.0
NF2L-NFE_0	count	0.14600238409133576	0.0
CTCF_0	mean	-0.13478702146392973	0.0
CTCF_0	max	-0.13150714721227147	0.0
CTCF_0	sum	-0.10493555374628795	0.0
ELF_0	max	0.11036817051855624	0.0
ELF_0	sum	0.11590582890167576	0.0
ELF_0	count	0.1335246192695459	0.0
FOS-JUN_0	mean	0.13167366942210523	0.0
FOS-JUN_0	max	0.14190118408342123	0.0
FOS-JUN_0	sum	0.15053697270745564	0.0
FOS-JUN_0	count	0.14561515540136294	0.0
NF2L-NFE_0	sum	0.15481583172290833	0.0
ATF-CEBP_0	sum	0.11612241284293941	0.0
ATF-CEBP_0	count	0.11524117005019559	0.0
ATF-CEBP_0	max	0.10104755374657841	0.0
GATA_1	sum	0.16467180282000685	0.0
GATA_1	max	0.15370560952865708	0.0
GATA_1	mean	0.14684168640966405	0.0
STAT_0	max	0.0988847490825196	0.0
STAT_0	sum	0.13330252753628413	0.0
STAT_0	count	0.13548870512409175	0.0
ELF_0	mean	0.08854969355187259	6.352865511988393e-251
ATF-CEBP_0	mean	0.08844234415119268	2.559692958519779e-250
ATF-CREB-JUN_0	count	0.08472726977016319	7.848549460785872e-230
ATF-CREB-JUN_0	sum	0.0835952920348154	9.121793382520523e-224
TAL_0	sum	0.08332609000260356	2.4566755421251162e-222
TAL_0	count	0.0831845849612519	1.3813080675759607e-221
ATF-CREB-JUN_0	max	0.07830556284936986	1.6203998534682753e-196
CTCF_0	count	-0.07754099574184396	9.98584134057654e-193
ATF-CREB-JUN_0	mean	0.07425743962779836	7.053555226253047e-177
RFX_1	count	0.07031868737954361	8.868911875500121e-159
STAT_0	mean	0.06852247022870145	7.44887141216264e-151
RFX_1	sum	0.06590095225225581	1.1665693656941097e-139
RFX_1	max	0.06397557056077935	1.021685816107607e-131
RUNX_0	count	0.06259160205493787	3.7338348470560996e-126
RUNX_0	sum	0.06218691584807297	1.4986280166240203e-124
RFX_1	mean	0.061259531716341895	6.471307481584007e-121
CREB_0	count	0.05549209308705245	1.5454411541697515e-99
CREB_0	sum	0.05518460878751424	1.8593146871055394e-98
TAL_0	max	0.051484826337082026	6.263187232978561e-86
CREB_0	max	0.05132502501638727	2.081091111162974e-85
CREB_0	mean	0.04831889482965401	6.706249395874717e-76
RUNX_0	max	0.047717764497690246	4.5607580834783624e-74
NFI_0	count	0.0423621856759139	9.440945874005187e-59
NFI_0	sum	0.04162900520714467	8.520985346738501e-57
RUNX_0	mean	0.032629493793936315	1.4695009876245964e-35
NFI_0	max	0.02805428390432532	1.0160947439901428e-26
TAL_0	mean	0.026031726231971856	3.130511870941038e-23
ZNF_0	count	-0.020894735689991093	1.6030064232199571e-15
ZNF_0	mean	-0.0198302564355331	3.948133201871284e-14
ZNF_0	sum	-0.019500883804585666	1.0295539804960222e-13
NFI_0	mean	0.015476874574418292	3.5866523210392943e-09
ZNF_0	max	-0.014856956407580063	1.4636322441863495e-08
E2F_1	count	0.01349121920070119	2.676739182186767e-07
E2F_1	sum	0.013022095745676733	6.835628377780319e-07
NFI_1	mean	-0.012363068694122273	2.4214244316728762e-06
ZNF_3	count	-0.009576538186684736	0.000260264832550135
E2F_1	max	0.009383808663661624	0.0003456477585089288
NFI_1	max	-0.009091932696494992	0.0005260409684608683
ZNF_3	mean	-0.008561727477046038	0.0010948870514704877
ZNF_3	sum	-0.007978714995324985	0.0023454194257926156
E2F_1	mean	0.006376396528132558	0.015033936892409106
NFI_1	sum	-0.005175192799942436	0.04843983404038311
ZNF_3	max	-0.003242430147847131	0.21629074611938423
NFI_1	count	-0.0006686572259173723	0.7987372656918783
