motif	n_p300_pos_hits	n_p300_neg_hits	p300_pos_median_score	p300_neg_median_score	p300_pos_mean_score	p300_neg_mean_score	score_fold_change	mann_whitney_u	p_value
FOS-JUN_0	57125	192463	7.532093588345928	7.22349731255801	8.385105175798387	8.031107349946558	1.0427211726446448	5880107177.0	9.715907755632379e-142
NF2L-NFE_0	51186	179427	3.9585674815604635	3.723237750674558	5.060213043589015	4.650962304347726	1.0632056684651066	4827367809.5	1.7325633785624542e-70
ELF_0	43435	151997	2.0198803074042035	1.7862071183968955	2.961596722418831	2.7059021711819433	1.1308208810728666	3432255200.0	5.009461014257823e-37
ATF-CEBP_0	33592	120751	6.466821604842197	6.366929666476688	7.221375661843829	6.94768661602888	1.0156891851486067	2100372984.5	7.522372938893688e-24
STAT_0	70835	260254	7.00423853605478	6.915632231218096	7.689608727092158	7.576543003736023	1.0128124662900237	9441623703.5	1.4572820922779312e-23
TAL_0	88752	341285	8.637489563737986	8.602361773959265	8.922749035423058	8.888106751269387	1.0040835052863109	15393410638.5	2.2796992282028297e-14
GATA_1	23756	70115	8.598210251435821	8.556315875524483	8.805422093149108	8.759163173020541	1.0048963101083235	858672799.5	4.0218825343578487e-13
ATF-CREB-JUN_0	32519	115522	6.517920801763953	6.44103651116999	7.265587289857069	7.12884925444165	1.011936633251594	1926692865.5	6.055049276051771e-13
RFX_1	28913	110745	2.467164568014206	2.4358332291031037	3.511374216126094	3.5091978101508357	1.0128626781738415	1613130998.5	0.023314508899454283
CREB_0	18020	70070	5.835016952099332	5.806673329340146	6.475765671367309	6.438575797935169	1.0048812153106617	636909911.5	0.03343527601553553
ZNF_0	178411	772463	6.7628272131548615	6.753515801537678	7.602414200118056	7.5937165837766525	1.0013787502525815	69057694947.5	0.07593334007795147
RUNX_0	47425	186975	6.066397333705464	6.048780033571582	6.707770283549905	6.689216381195251	1.002912537740851	4449122289.5	0.11979105850884675
ZNF_3	254223	1087987	5.018841288264197	5.0057905714753925	6.083736286720402	6.062772830669018	1.0026071240101755	138485602755.5	0.14009270715570404
E2F_1	18943	79564	7.200983095018422	7.229328868857976	7.707624508978466	7.729760986026684	0.996079058740617	749503481.0	0.8773632146611243
NFI_0	46376	190813	8.596235786001623	8.602987644362795	8.907508401583666	8.919549172713781	0.999215172839915	4401865209.0	0.9570011901145691
NFI_1	51143	220568	3.7607145053700815	3.78576165687158	4.670024824936747	4.737954538918124	0.9933838540902238	5600378020.0	0.9937041174021033
CTCF_0	56689	269815	4.772226263441044	5.058989097980692	5.8184160307958654	6.471778535335385	0.9433161785910725	7117089974.0	1.0
