motif	score_bin	bin_percentile_range	n_hits	n_regions	min_score	max_score	median_score	p300_pos_with_hit	p300_neg_with_hit	odds_ratio	p_value
ATF-CEBP_0	Q1	0%-25%	38585	32851	4.500020846084595	5.295359588604568	4.869632548306828	6801	26050	1.2053396602224558	4.444163500464002e-32
ATF-CEBP_0	Q2	25%-50%	38586	32960	5.29543735260671	6.38692621823155	5.7861598152841704	6802	26158	1.199198124890978	1.741530483580099e-30
ATF-CEBP_0	Q3	50%-75%	38586	33112	6.386933518116946	8.05493990468997	7.139854625196789	6805	26307	1.191186932145273	1.9195015462918755e-28
ATF-CEBP_0	Q4	75%-100%	38586	32823	8.055049401699248	20.33165461035533	9.539484996517947	7504	25319	1.4292761972291987	2.89793212118714e-116
ATF-CREB-JUN_0	Q1	0%-25%	37010	30890	4.700009718670661	5.411423747531113	5.022160804534056	6425	24465	1.210532270142193	3.3184415800432204e-32
ATF-CREB-JUN_0	Q2	25%-50%	37010	30347	5.411434109158234	6.457332153525506	5.89288862684265	6391	23956	1.2343061933039285	1.9179924371414881e-38
ATF-CREB-JUN_0	Q3	50%-75%	37010	29390	6.457338812362534	8.182933565782607	7.164563667886483	6190	23200	1.2321955959846922	4.81726420463767e-37
ATF-CREB-JUN_0	Q4	75%-100%	37011	23433	8.182945095187225	19.91489019991499	9.880787693040464	5341	18092	1.3796669299186688	1.778210088327803e-74
CREB_0	Q1	0%-25%	22022	19906	4.100030422217282	4.818977331201493	4.43201236230755	3993	15913	1.1274414584883228	5.449065483785238e-10
CREB_0	Q2	25%-50%	22023	19855	4.818987858553903	5.813436147716313	5.271054423412307	3996	15859	1.1328745870365067	1.0584606551724113e-10
CREB_0	Q3	50%-75%	22022	19648	5.813555600034405	7.411280412301976	6.494279507736457	3986	15662	1.1459464031176274	2.0468788484230363e-12
CREB_0	Q4	75%-100%	22023	19380	7.411311185769223	22.142941690124008	8.979983344995173	4008	15372	1.178451925744215	2.7656418503533506e-17
CTCF_0	Q1	0%-25%	81626	52399	2.6000014742073825	3.591731961691366	3.056570601767297	9642	42757	0.9940529226548516	0.6778987989937557
CTCF_0	Q2	25%-50%	81626	51944	3.591732371296246	5.003645660657816	4.224856089152495	9547	42397	0.9918511392162068	0.5630362694064126
CTCF_0	Q3	50%-75%	81626	51318	5.003672361993159	7.547680481622118	6.027457020718041	9154	42164	0.9378900767441178	6.413733208044063e-06
CTCF_0	Q4	75%-100%	81626	58422	7.547724387063649	30.359432668440924	10.664929430738713	7749	50673	0.543855886847307	0.0
E2F_1	Q1	0%-25%	24626	18857	5.600014034655848	6.280459218153454	5.920719983220173	3537	15320	1.0229219180545417	0.25984884501932726
E2F_1	Q2	25%-50%	24627	18377	6.280497407344936	7.224246905064037	6.703227748218644	3597	14780	1.0867185254675225	3.470288542440253e-05
E2F_1	Q3	50%-75%	24627	17731	7.224252040824631	8.711650901941177	7.844651600224198	3352	14379	1.034064251793811	0.10269080584175765
E2F_1	Q4	75%-100%	24627	14754	8.711665574628888	19.1055504567118	9.949057305886887	2726	12028	1.0013190044813332	0.9553684063928709
ELF_0	Q1	0%-25%	48859	39559	-0.99994584885808	0.209970828580547	-0.4137991590969205	8090	31469	1.194183432132191	1.7423958415891836e-32
ELF_0	Q2	25%-50%	48857	40303	0.2102771053668684	1.837971026114736	0.9195358016837932	8402	31901	1.2379734014417298	5.165548582022176e-47
ELF_0	Q3	50%-75%	48872	40155	1.8380358060906363	4.378590171770398	2.9449296912376624	8744	31411	1.3407257074674275	6.866821119644565e-88
ELF_0	Q4	75%-100%	48844	39384	4.378855385127604	21.70525055610434	6.647842082667767	8921	30463	1.4398545298941687	8.674364637847017e-135
FOS-JUN_0	Q1	0%-25%	62397	46556	5.300009385824518	6.11718370316267	5.680486589806399	9423	37133	1.1864780200187062	7.093489080476827e-33
FOS-JUN_0	Q2	25%-50%	62397	45705	6.117196695520425	7.292027397095071	6.635530267191129	9396	36309	1.2202772433551146	9.905022408626072e-44
FOS-JUN_0	Q3	50%-75%	62397	43204	7.292033106572568	9.466490534396144	8.166273782227305	9370	33834	1.3432051073643112	1.7541583461119853e-92
FOS-JUN_0	Q4	75%-100%	62397	34044	9.466517584386478	20.357298734190195	11.475384474933708	8420	25624	1.6580099273856175	4.787494811749562e-242
GATA_1	Q1	0%-25%	23467	21297	7.900013115404802	8.18664494178836	8.033378954950237	5114	16183	1.4891971777234552	4.8535303849096354e-107
GATA_1	Q2	25%-50%	23448	21306	8.186645519595524	8.566019848454232	8.361901604251681	5054	16252	1.4604562996039838	1.3617680181099142e-96
GATA_1	Q3	50%-75%	23486	21201	8.566042500439348	9.174971780275037	8.813914513704148	5185	16016	1.533113882469749	2.317806979354439e-123
GATA_1	Q4	75%-100%	23470	21143	9.175051568963012	11.974580696803562	9.739837793969786	5621	15522	1.7585912754103266	3.9076002423507065e-220
NF2L-NFE_0	Q1	0%-25%	57653	46195	1.400012775927182	2.3978020153373816	1.8655983863488328	9397	36798	1.1971002542585254	4.034267715269788e-36
NF2L-NFE_0	Q2	25%-50%	57653	45947	2.397821498884781	3.772039924152186	3.012217811957415	9285	36662	1.1816084270910656	3.5126564435302327e-31
NF2L-NFE_0	Q3	50%-75%	57653	45886	3.7720521645578327	6.046257050845156	4.703885616077656	9580	36306	1.2575854116795049	1.0949304214890632e-57
NF2L-NFE_0	Q4	75%-100%	57654	45407	6.046317651177876	27.078757636647776	8.350235405254029	10514	34893	1.544307965755125	4.365177651637338e-206
NFI_0	Q1	0%-25%	59273	47270	7.300432724022265	7.898300100712201	7.577969009817669	9099	38171	1.0802297432446588	7.625109725227244e-08
NFI_0	Q2	25%-50%	59348	47277	7.899247982709924	8.602960226036263	8.230347949618313	9120	38157	1.0845923889253086	1.5399396454645363e-08
NFI_0	Q3	50%-75%	59280	47400	8.602987644362793	9.730060289910512	9.05479259202399	9068	38332	1.068015179772712	4.521867564714742e-06
NFI_0	Q4	75%-100%	59288	47688	9.730422433122554	13.27465165655597	10.537295223700504	9138	38550	1.0714859487886401	1.4617945663647014e-06
NFI_1	Q1	0%-25%	67926	46464	1.200009063912283	2.2906757956024717	1.7073232412277126	8746	37718	1.0360989276884642	0.014291956585568566
NFI_1	Q2	25%-50%	67929	45196	2.2906757956024726	3.782142982088067	2.9676935343737414	8380	36816	1.0080209388362278	0.5839233418153649
NFI_1	Q3	50%-75%	67928	42569	3.782190917549485	6.187172077184671	4.807182600628721	7978	34591	1.0268307207974423	0.07464832472404359
NFI_1	Q4	75%-100%	67928	34854	6.187184501182282	23.93716867486885	8.444788090640547	6460	28394	1.0066511762409196	0.6747841062908688
RFX_1	Q1	0%-25%	34914	28056	0.3000269586966935	1.1732610089444973	0.6862075511543642	5629	22427	1.137634477248456	2.0090058160999053e-14
RFX_1	Q2	25%-50%	34915	26619	1.1733197056726148	2.444630587066275	1.7552704988992809	5379	21240	1.1484976247390397	7.622340002248003e-16
RFX_1	Q3	50%-75%	34914	24304	2.4446935694227365	4.626291363420055	3.32502291963935	4985	19319	1.1717935754533648	4.0704466210751755e-19
RFX_1	Q4	75%-100%	34915	18728	4.626497876543381	25.929081787252183	6.894942472977936	3929	14799	1.2024549525476735	6.088997211761691e-21
RUNX_0	Q1	0%-25%	58600	45267	4.200001337887029	4.98026677949602	4.563443426720655	8989	36278	1.1422104261944765	3.617725858598089e-20
RUNX_0	Q2	25%-50%	58600	45204	4.980273069584522	6.052096877309948	5.466225420604246	8862	36342	1.1152818891645424	5.096873709640711e-14
RUNX_0	Q3	50%-75%	58600	45029	6.05212617980143	7.764612220518046	6.767517397150183	8939	36090	1.1411861373520094	7.213053344686589e-20
RUNX_0	Q4	75%-100%	58600	43601	7.764615391756907	22.829488865718638	9.33184741928924	8777	34824	1.1684890988580494	1.2099794177539753e-26
STAT_0	Q1	0%-25%	82772	60869	5.100025344230133	5.864950763377389	5.4526118291414205	12133	48736	1.1820596659903373	1.4848079607644676e-34
STAT_0	Q2	25%-50%	82772	60584	5.864951555308311	6.93542016456656	6.353049036444861	12151	48433	1.1978532847372112	5.467946490353413e-40
STAT_0	Q3	50%-75%	82772	59962	6.935431721452535	8.680282933850417	7.673459563009913	12262	47700	1.249639108166323	5.496308863503075e-60
STAT_0	Q4	75%-100%	82773	55883	8.680314699201686	21.541530149840423	10.298711828574536	11656	44227	1.2903091988775948	1.176497165012075e-76
TAL_0	Q1	0%-25%	107510	72925	7.600028698042323	8.051461499788076	7.815720720054319	14213	58712	1.147507810686804	2.7512264466537575e-24
TAL_0	Q2	25%-50%	107509	72947	8.051461499788077	8.610229211009306	8.31401885476277	14341	58606	1.1738879611263697	2.2655232328362414e-32
TAL_0	Q3	50%-75%	107508	73029	8.61026750888775	9.465053168350495	8.974737810912941	14495	58534	1.204214129065639	7.031319817465e-43
TAL_0	Q4	75%-100%	107510	72490	9.465089243839586	14.973580085441416	10.223655989339875	14600	57890	1.2502171261547619	4.430564375879747e-61
ZNF_0	Q1	0%-25%	237720	83737	4.100006153189996	5.222565183456832	4.629251443827487	15404	68333	0.9902127022261644	0.4727406151486441
ZNF_0	Q2	25%-50%	237717	80888	5.222597070526659	6.755251012697759	5.901640872694534	14946	65942	1.0028322305287662	0.8382961781725201
ZNF_0	Q3	50%-75%	237691	76981	6.75525101269776	9.243466695776792	7.810727972602697	14290	62691	1.0148675259623925	0.278647133227127
ZNF_0	Q4	75%-100%	237746	65566	9.243466695776794	21.05443179691078	11.361628957729796	12356	53210	1.0478233434491429	0.0005883717304698325
ZNF_3	Q1	0%-25%	335552	97506	1.8000094590704725	3.181266580054253	2.448028687183447	18148	79358	1.0315822548182891	0.0315590289143939
ZNF_3	Q2	25%-50%	335553	93808	3.1812682483753303	5.0078185295644415	4.011510301381392	17299	76509	0.996701451500138	0.8156961510751688
ZNF_3	Q3	50%-75%	335552	86906	5.007820907511561	7.93107659603489	6.247773859958438	16224	70682	1.0353507366053467	0.011884786791203169
ZNF_3	Q4	75%-100%	335553	72778	7.931080082051075	27.924363176681304	10.596400797970771	13800	58978	1.0692432942370746	7.496254686654071e-07
