motif	percentile_threshold	pct_hits_kept	score_threshold	n_hits_passing	n_regions_passing	p300_pos_with_hit	p300_neg_with_hit	odds_ratio	log2_odds_ratio	p_value
ATF-CEBP_0	0	top 100%	4.500020846084595	154343	89783	17923	71860	1.306390392276195	0.3855860858878906	8.487323696935407e-80
ATF-CEBP_0	25	top 75%	5.295453402846659	115758	75703	15484	60219	1.3211152832105293	0.4017563645857028	3.575767767422664e-93
ATF-CEBP_0	50	top 50%	6.386933518116946	77172	57255	12125	45130	1.3408039236939133	0.4230982760215222	1.0656963212328519e-101
ATF-CEBP_0	75	top 25%	8.054994653194608	38586	32823	7504	25319	1.4292761972291987	0.5152847336974345	2.89793212118714e-116
ATF-CEBP_0	90	top 10%	10.034378971040592	15435	14323	3846	10477	1.7256062792118105	0.7871033313625447	4.0542140316628166e-150
ATF-CREB-JUN_0	0	top 100%	4.700009718670661	148041	71765	14778	56987	1.3238893594048324	0.40478255771331617	2.792987171898475e-95
ATF-CREB-JUN_0	25	top 75%	5.411434109158234	111031	58543	12279	46264	1.3178905502301657	0.3982305606366857	9.268763992005532e-91
ATF-CREB-JUN_0	50	top 50%	6.457338812362534	74021	42889	9244	33645	1.3259963494075029	0.4070768035810123	2.779756539092832e-84
ATF-CREB-JUN_0	75	top 25%	8.182945095187225	37011	23433	5341	18092	1.3796669299186688	0.46432002312536713	1.778210088327803e-74
ATF-CREB-JUN_0	90	top 10%	10.426732463270646	14805	10009	2412	7597	1.4422897506076546	0.5283610257246734	3.361637734926018e-48
CREB_0	0	top 100%	4.100030422217282	88090	60330	11913	48417	1.1563144095510165	0.20953372952236407	2.0582684082858238e-26
CREB_0	25	top 75%	4.819010125232838	66068	48666	9700	38966	1.1560910557632451	0.20925503151043057	1.681538943268762e-24
CREB_0	50	top 50%	5.813495873875359	44046	35225	7127	28098	1.1640658838949731	0.21917271432752605	1.4163098664122478e-22
CREB_0	75	top 25%	7.411303492402411	22023	19380	4008	15372	1.178451925744215	0.2368929058896715	2.7656418503533506e-17
CREB_0	90	top 10%	9.466904550751774	8810	8304	1743	6561	1.1856243605455	0.2456469955339909	1.613338529551491e-09
CTCF_0	0	top 100%	2.6000014742073825	326504	109864	18533	91331	0.6653736011890923	-0.587763466702494	1.6833671659689446e-159
CTCF_0	25	top 75%	3.591732268895026	244879	99368	16252	83116	0.6547340847366192	-0.6110190088882268	7.963297057172649e-197
CTCF_0	50	top 50%	5.003659011325487	163253	83891	12899	70992	0.6200851785702538	-0.6894616886454521	2.4137776687702197e-271
CTCF_0	75	top 25%	7.5476914579825	81627	58423	7750	50673	0.543954560594081	-0.8784419543374662	0.0
CTCF_0	90	top 10%	11.851219092648142	32651	30204	3002	27202	0.422986237934538	-1.2413173695718733	0.0
E2F_1	0	top 100%	5.600014034655848	98507	42545	7824	34721	0.993575187118224	-0.009298949779526635	0.6665714067258395
E2F_1	25	top 75%	6.280509696644479	73881	34988	6491	28497	1.0082083007109153	0.011793737405933069	0.6073033585134406
E2F_1	50	top 50%	7.224252040824631	49254	25960	4807	21153	1.004732838281083	0.006811935109295747	0.7911945667098593
E2F_1	75	top 25%	8.711658238285032	24627	14754	2726	12028	1.0013190044813332	0.001901667345778202	0.9553684063928709
E2F_1	90	top 10%	10.330287989930142	9851	6726	1224	5502	0.9819251100792765	-0.02631509828760229	0.5843137231883655
ELF_0	0	top 100%	-0.99994584885808	195432	101534	20160	81374	1.3793188783010961	0.46395602535211783	1.505971285988699e-99
ELF_0	25	top 75%	0.209970828580547	146576	87189	17869	69320	1.4150219202841583	0.5008244022022466	1.3014715187607334e-134
ELF_0	50	top 50%	1.8380034161026861	97717	67189	14407	52782	1.444202906533016	0.5302734511474838	3.007787399487964e-162
ELF_0	75	top 25%	4.378590171770398	48844	39384	8921	30463	1.4398545298941687	0.5259230619442733	8.674364637847017e-135
ELF_0	90	top 10%	7.413119295072241	19544	17571	4356	13215	1.5445016664676106	0.6271414275879271	2.603069207643938e-110
FOS-JUN_0	0	top 100%	5.300009385824518	249588	92885	18849	74036	1.4186843157112519	0.5045535979779454	7.777099615070364e-130
FOS-JUN_0	25	top 75%	6.117193447430987	187192	78651	16477	62174	1.4420971901352553	0.5281683982827096	5.609149337296335e-157
FOS-JUN_0	50	top 50%	7.292030251833819	124795	59337	13129	46208	1.499438201169079	0.5844220632508932	1.6803117264581372e-194
FOS-JUN_0	75	top 25%	9.466497296893728	62398	34045	8420	25625	1.6579273879852032	0.7293808227036052	4.902134818005401e-242
