pair_name	pair_type	odds_ratio	p_value	n_p300_pos	n_p300_neg	p300_pos_freq	p300_neg_freq
GATA_1-NF2L-NFE_0	heterotypic	1.7949482395857086	0.0	8668	24893	0.322926756575516	0.20993287005802186
GATA_1-TAL_0	heterotypic	1.7888029030658104	0.0	12142	37457	0.45235079353252367	0.315890230738092
GATA_1-STAT_0	heterotypic	1.6940295937475949	1.9597033646324573e-280	9399	28615	0.35016019670665377	0.24132202131965996
FOS-JUN_0-GATA_1	heterotypic	1.7743109366093213	3.907153026025243e-279	7364	20828	0.27434617390656435	0.17565105923627042
ELF_0-GATA_1	heterotypic	1.7448360588138165	3.982950897987061e-258	7133	20370	0.26574025780493254	0.17178855754958844
GATA_1-ZNF_3	heterotypic	1.6112312360855614	2.5014471442370886e-231	9354	29553	0.3484837195439982	0.24923255970854136
GATA_1-GATA_1	homotypic	2.037551571074191	1.602610833056039e-203	3182	7342	0.11854556292377617	0.061918094724058834
ATF-CEBP_0-GATA_1	heterotypic	1.6598078824180864	2.031764219281173e-200	6424	18895	0.23932642873109305	0.15934927810012145
GATA_1-ZNF_0	heterotypic	1.5747285517362493	5.907881222995623e-197	8376	26517	0.3120482825422845	0.22362872756712995
GATA_1-RUNX_0	heterotypic	1.6173459044064618	3.0317441042035e-194	7024	21314	0.26167945756650024	0.17974969639724733
FOS-JUN_0-FOS-JUN_0	homotypic	1.475342996236702	6.362108274751935e-181	13865	49804	0.5165412413382013	0.4200175414923762
ATF-CREB-JUN_0-GATA_1	heterotypic	1.6914579480576344	1.3817748756534067e-175	5004	14147	0.18642426048729602	0.11930744838753204
FOS-JUN_0-NF2L-NFE_0	heterotypic	1.4655281015148098	2.6445194169938008e-174	15371	56635	0.5726473437150734	0.4776261638105519
GATA_1-NFI_0	heterotypic	1.527593218358418	1.4654106268346142e-160	7503	24016	0.279524625586767	0.20253676966671164
ELF_0-ELF_0	homotypic	1.5210653771827103	3.6605420083953765e-154	7279	23305	0.2711794948215483	0.19654061530157874
NF2L-NFE_0-NF2L-NFE_0	homotypic	1.4543778705517676	8.420686796497559e-149	9705	33232	0.3615602414127114	0.28025907434894076
ELF_0-FOS-JUN_0	heterotypic	1.4538476884036389	1.5133694217416057e-148	9703	33233	0.3614857313165934	0.280267507758737
FOS-JUN_0-TAL_0	heterotypic	1.4189817945495433	3.1041875859438526e-147	14542	53893	0.5417629088741525	0.4545017541492376
ELF_0-NF2L-NFE_0	heterotypic	1.4162096562726745	1.3483381327960602e-139	11558	41276	0.43059384546606067	0.34809742274996625
NF2L-NFE_0-TAL_0	heterotypic	1.3912926649527466	6.01341390039699e-127	16751	64509	0.6240593100365099	0.5440308325462151
FOS-JUN_0-STAT_0	heterotypic	1.3786228355495418	2.1910581442166537e-122	12569	46219	0.4682586990537218	0.38978376737282416
ATF-CEBP_0-ELF_0	heterotypic	1.4119332871999906	3.6934299786958445e-121	8899	30824	0.33153267267714776	0.2599514235595736
ELF_0-STAT_0	heterotypic	1.3710316701049476	3.591045167055361e-120	14148	53170	0.5270844199389018	0.4484043988665497
ATF-CEBP_0-ATF-CREB-JUN_0	heterotypic	1.4084781108125386	1.2531125897607199e-119	8911	30926	0.3319797332538559	0.260811631358791
ATF-CREB-JUN_0-ELF_0	heterotypic	1.434491666020876	6.740372517021634e-114	7086	23718	0.263989270546159	0.2000236135474295
ATF-CREB-JUN_0-NF2L-NFE_0	heterotypic	1.3992025370459225	1.2108837385120871e-110	8326	28839	0.31018553013933386	0.2432111051140197
ELF_0-TAL_0	heterotypic	1.3546992262572743	3.96004072489073e-110	15664	60291	0.5835630727963639	0.5084587100256376
ATF-CEBP_0-NF2L-NFE_0	heterotypic	1.365749646191535	1.6466041072622826e-109	10706	38770	0.3988525445197824	0.3269632978005667
ATF-CEBP_0-FOS-JUN_0	heterotypic	1.3743904408897447	2.5499182677182666e-107	9466	33659	0.35265628492660755	0.283860140331939
ATF-CREB-JUN_0-FOS-JUN_0	heterotypic	1.4150803772340812	2.453595949397376e-106	7124	24117	0.26540496237240147	0.20338854405613277
NF2L-NFE_0-STAT_0	heterotypic	1.3361551776946958	1.128494980183915e-101	14407	55068	0.5367334773861858	0.46441101065983
ATF-CEBP_0-TAL_0	heterotypic	1.3299487979779905	6.262901800314056e-98	13096	49490	0.4878921093808211	0.41736945081635407
ATF-CREB-JUN_0-TAL_0	heterotypic	1.3391737984077001	1.4455920248136806e-96	10700	39260	0.3986290142314284	0.33109566860072864
GATA_1-RFX_1	heterotypic	1.5428607767660922	1.4768583296699638e-96	3743	11270	0.1394456448848819	0.0950445284037242
CTCF_0-CTCF_0	homotypic	0.7516131663993791	3.3289834831777855e-93	9489	49937	0.35351315103196485	0.4211391849952773
ATF-CEBP_0-STAT_0	heterotypic	1.3275218974592136	9.063500248320417e-93	11208	41580	0.41755457864540646	0.35066117932802593
FOS-JUN_0-RUNX_0	heterotypic	1.3366670090574788	1.1350262375041477e-90	9602	34876	0.3577229714626332	0.2941236000539738
GATA_1-NFI_1	heterotypic	1.4344000036489992	6.540986666713697e-89	5101	16669	0.1900380001490202	0.14057650789367157
ATF-CREB-JUN_0-STAT_0	heterotypic	1.3414920673532198	6.770247860091837e-89	8854	31829	0.3298561955144922	0.26842700040480366
STAT_0-STAT_0	homotypic	1.2983784063000294	6.389720680651867e-83	13794	53217	0.5138961329260114	0.4488007691269734
ELF_0-RUNX_0	heterotypic	1.3065471092473357	1.0137493542952995e-81	10773	40211	0.40134863273973626	0.33911584131696126
ATF-CEBP_0-ATF-CEBP_0	homotypic	1.408460915928061	4.982559613634313e-81	5126	17020	0.1909693763504955	0.14353663473215492
CREB_0-GATA_1	heterotypic	1.5020128162263102	4.977970440060427e-80	3449	10599	0.12849266075553237	0.08938571043044123
ATF-CREB-JUN_0-ATF-CREB-JUN_0	homotypic	1.3087034410019471	4.42445139447624e-72	8248	30017	0.30727963639073097	0.25314566185400084
FOS-JUN_0-ZNF_3	heterotypic	1.2753458616782132	6.2098985410881685e-71	12233	46997	0.45574100290589376	0.39634496019430576
FOS-JUN_0-ZNF_0	heterotypic	1.2676364438310794	4.200986242858796e-66	11337	43376	0.422360479845019	0.3658075833220888
TAL_0-TAL_0	homotypic	1.2651347641737163	2.6541605928631956e-65	16560	66410	0.6169435958572387	0.560062744568884
STAT_0-TAL_0	heterotypic	1.2712843131116227	1.8929324707816347e-62	18551	75614	0.6911183965427316	0.6376838483335582
FOS-JUN_0-NFI_0	heterotypic	1.2623857071788585	1.9325650321827977e-61	10251	38965	0.38190149765293196	0.3286078127108352
NF2L-NFE_0-RUNX_0	heterotypic	1.2562281420798607	4.281012062005623e-61	11216	43116	0.4178526190298785	0.3636148967750641
