pair_name	orientation	odds_ratio	p_value	n_p300_pos	fraction_this_orientation
FOS-JUN_0-NF2L-NFE_0	++	1.2838191941672383	5.479953779035136e-42	9165	0.5480376635280393
FOS-JUN_0-FOS-JUN_0	+-	1.3205369424119502	8.772448897650613e-41	4629	0.28791091425968685
FOS-JUN_0-FOS-JUN_0	++	1.3149720395537476	1.1022104918216698e-38	4439	0.2759898851874539
FOS-JUN_0-NF2L-NFE_0	--	1.257752004652923	1.1482310833080342e-35	9139	0.5503152515068189
FOS-JUN_0-FOS-JUN_0	--	1.2942666951506776	2.066878777522641e-34	4390	0.2751574549623836
FOS-JUN_0-NF2L-NFE_0	+-	1.2407362342398611	2.7169139149106697e-31	6557	0.38588450962419796
NF2L-NFE_0-TAL_0	-+	1.2211843855120081	1.3805830197200506e-30	8229	0.4518090081220773
STAT_0-TAL_0	+-	1.189723396647024	1.4086542288943874e-25	11094	0.5639993628205809
FOS-JUN_0-TAL_0	-+	1.218613869407767	8.41670019274778e-25	9222	0.5971798056550011
FOS-JUN_0-TAL_0	+-	1.2119267757662495	2.331885754160276e-23	9332	0.6060641484620443
NF2L-NFE_0-STAT_0	-+	1.203927731346389	4.368439550498775e-23	7795	0.5043540842029507
NF2L-NFE_0-STAT_0	--	1.2035952390168578	6.52719013871935e-23	6856	0.4395106153292551
FOS-JUN_0-STAT_0	+-	1.2226512263355045	2.258076958043188e-22	7924	0.5927570252432469
STAT_0-TAL_0	--	1.1714905878808264	7.588672784266826e-22	8647	0.4347262783412096
FOS-JUN_0-NF2L-NFE_0	-+	1.3477598307628962	1.3858389083141813e-21	14080	0.895564258534011
NF2L-NFE_0-STAT_0	+-	1.1904935350379648	1.3463325622439393e-20	7702	0.500093558834113
FOS-JUN_0-TAL_0	++	1.1902067182485117	2.0049508093416867e-20	8211	0.5306349090377731
NF2L-NFE_0-TAL_0	+-	1.1742641216890095	2.1117740730404383e-20	8760	0.49109032734432684
FOS-JUN_0-STAT_0	-+	1.2082990404073515	6.743431330941837e-20	7988	0.6002755664421311
NF2L-NFE_0-NF2L-NFE_0	-+	1.2300308774514506	3.3106683773170203e-19	4887	0.46360947434613503
ELF_0-TAL_0	+-	1.1790914120920393	4.2270024322737996e-19	6269	0.3694029359489171
ELF_0-STAT_0	--	1.1888510754401753	4.708318661912052e-19	5776	0.3758430137556077
STAT_0-TAL_0	-+	1.1641409255784831	7.980096364877758e-19	12237	0.6316147188445813
ELF_0-NF2L-NFE_0	+-	1.208895657402808	9.300084793317562e-19	4906	0.38887837377446344
NF2L-NFE_0-TAL_0	++	1.165681678666004	1.3321910744192025e-18	7981	0.4462589219788334
NF2L-NFE_0-TAL_0	--	1.1652571084363434	1.5726011601563736e-18	7990	0.44686192468619246
STAT_0-TAL_0	++	1.1547594063707447	2.7793880192020035e-18	8532	0.431434184675835
ELF_0-STAT_0	+-	1.1793394290678239	3.4070672283247705e-18	7640	0.5075017083098131
GATA_1-STAT_0	-+	1.22572816273116	1.3416431746598262e-17	4702	0.4620929131372652
FOS-JUN_0-TAL_0	--	1.1706832545562889	5.120285430270853e-17	8200	0.5331190180463213
GATA_1-TAL_0	++	1.1890341666071433	1.5792443935150925e-16	5726	0.4392427266678764
ELF_0-STAT_0	-+	1.1708491409788757	2.1527295589287843e-16	8462	0.5677530526753617
ELF_0-NF2L-NFE_0	-+	1.1877833086665708	1.7319604277109262e-15	4670	0.3722792141424083
ATF-CEBP_0-FOS-JUN_0	+-	1.2037955723816975	2.2523917677998713e-15	5342	0.5284173913043478
NF2L-NFE_0-STAT_0	++	1.1607050145164821	2.5577415075375977e-15	6688	0.4350485786254048
STAT_0-STAT_0	-+	1.1718524400936838	3.3295722167185238e-15	4937	0.3296622942501977
ATF-CEBP_0-STAT_0	-+	1.181268191048981	5.9026880550090956e-15	5533	0.4609759793892551
FOS-JUN_0-STAT_0	--	1.1710160213968166	1.0753175708525423e-14	7525	0.5684663536776213
GATA_1-TAL_0	-+	1.185423825441609	1.6132105377390182e-14	4258	0.32222423839190306
ATF-CREB-JUN_0-FOS-JUN_0	+-	1.2412289975783257	1.8864170846759413e-14	4742	0.6272846579814987
ELF_0-FOS-JUN_0	+-	1.1935284191170776	2.2143773339834244e-14	5408	0.5233137693310974
STAT_0-STAT_0	+-	1.1657085337914912	7.518664304622812e-14	9558	0.6662637477429079
STAT_0-STAT_0	--	1.1545045950007056	2.0385967648636098e-13	5644	0.3819820626464312
ELF_0-ZNF_0	--	1.1568324168034347	2.1100896131513464e-13	5305	0.365587427254734
ELF_0-FOS-JUN_0	-+	1.1834661619054483	3.2242746697049966e-13	5279	0.5115520775107136
FOS-JUN_0-STAT_0	++	1.1598721891112482	3.5972872272289193e-13	7486	0.5671565625637885
STAT_0-STAT_0	++	1.1509584519135665	6.413587158290239e-13	5665	0.3840414260345316
ELF_0-TAL_0	-+	1.1407054545637756	9.743993966547934e-13	6219	0.37237838193667305
ELF_0-ZNF_0	+-	1.1499244114500256	1.6652229343210033e-12	8460	0.6000265871023013
ELF_0-ZNF_3	-+	1.1442034725081849	1.712376332718509e-12	9084	0.6011311905090357
ELF_0-ZNF_3	--	1.1451269850082701	1.9570385685771206e-12	5538	0.3569319906193958
ELF_0-STAT_0	++	1.145931473184639	2.1698634328503174e-12	5715	0.37841290590926646
FOS-JUN_0-ZNF_3	-+	1.1492939171238632	1.7207873887597747e-11	7433	0.5809387134897855
ATF-CEBP_0-NF2L-NFE_0	+-	1.16002246493588	2.0785242410761413e-11	4619	0.40324601827148515
FOS-JUN_0-GATA_1	-+	1.199391988099392	2.2095694335133022e-11	3777	0.47935584562996597
ELF_0-FOS-JUN_0	--	1.1670378385545956	2.391840119348103e-11	4761	0.4608952860070803
TAL_0-TAL_0	-+	1.1286859014352506	2.4290049678946322e-11	6121	0.34742678076413164
ELF_0-ZNF_0	++	1.1397709547523858	4.0305606714417436e-11	5338	0.3707128297539216
ELF_0-ZNF_3	++	1.1346009576777776	5.08757402033039e-11	5562	0.3602289971030487
ELF_0-ZNF_0	-+	1.1371390585934007	5.371841194733492e-11	8176	0.580706626096718
FOS-JUN_0-GATA_1	+-	1.194774061872212	5.7543132689218507e-11	3917	0.499077752553916
NF2L-NFE_0-NF2L-NFE_0	+-	1.1687016073319307	6.61323004140717e-11	3763	0.359643198174069
NF2L-NFE_0-RUNX_0	+-	1.1477110244114277	1.165446849451903e-10	5072	0.42534786129720975
STAT_0-ZNF_0	+-	1.122171392551972	1.2118395313709902e-10	8091	0.4989126787866738
RUNX_0-STAT_0	--	1.1364562786649781	1.3715541759468902e-10	5581	0.4053412279890215
ELF_0-TAL_0	++	1.1221851658384787	1.476585696809331e-10	7546	0.4589691264564545
ATF-CREB-JUN_0-NF2L-NFE_0	++	1.172398528287166	1.7787353385406558e-10	4212	0.47507063096999863
ATF-CREB-JUN_0-FOS-JUN_0	++	1.1911002209232555	2.9557217959019393e-10	4492	0.5984443519733683
GATA_1-NF2L-NFE_0	-+	1.1746547102440579	4.674469687275057e-10	3348	0.35851136736092487
FOS-JUN_0-ZNF_0	-+	1.1427361546453076	5.189038400574248e-10	6827	0.5765357410487453
RUNX_0-TAL_0	+-	1.118042496568997	7.3016875922504e-10	7539	0.47308690431616596
FOS-JUN_0-FOS-JUN_0	-+	1.342032734849507	8.782083584573249e-10	13345	0.952959839168198
GATA_1-RUNX_0	+-	1.193820727110865	9.087751633279315e-10	2562	0.33467428894064505
NF2L-NFE_0-RUNX_0	--	1.1418939531135224	1.6781587557410925e-09	4255	0.3550025767503497
GATA_1-STAT_0	+-	1.1524438652067033	3.049230595097656e-09	4383	0.4399168727310991
ATF-CREB-JUN_0-TAL_0	+-	1.1382060079724983	3.3285476271324184e-09	5785	0.5152922337870296
FOS-JUN_0-GATA_1	++	1.1747456603912076	3.3923029314688453e-09	3471	0.4418984108967083
