pair_name	p300_pos_median_spacing	p300_neg_median_spacing	p300_pos_mean_spacing	p300_neg_mean_spacing	mann_whitney_p	ks_test_p	n_p300_pos_pairs	n_p300_neg_pairs
ZNF_0-ZNF_3	17.0	18.0	24.977933577439963	25.852832193471954	0.0	0.0	2024252	9503641
ZNF_3-ZNF_3	12.0	13.0	21.66333397142332	22.466932438509364	4.353774376362174e-280	0.0	1572401	7336117
ZNF_0-ZNF_0	28.0	29.0	32.914419980499325	33.5411616287923	1.5242609495055585e-58	8.512988554173955e-105	636901	3058929
ELF_0-ELF_0	22.0	29.0	30.42045883940621	33.038021617607626	3.280445886447202e-39	2.195253025390002e-72	18525	193916
FOS-JUN_0-FOS-JUN_0	-5.0	-11.0	13.344220152555945	11.499182265517316	2.8631522222769195e-32	3.089139926198945e-42	47458	140021
ATF-CREB-JUN_0-ATF-CREB-JUN_0	-14.0	-16.0	11.598678095631518	8.84754350132206	8.431771014870273e-22	5.415681149740202e-30	19366	63159
TAL_0-ZNF_3	36.0	34.0	37.32119198664441	36.66175898511374	1.2101739133812705e-20	4.009805008379048e-17	299500	1262171
FOS-JUN_0-NF2L-NFE_0	-7.0	-11.0	12.157176470588235	11.199947269551462	6.063966653596435e-14	2.157222115351493e-31	82875	242744
STAT_0-ZNF_0	44.0	43.0	43.73217009830028	43.00754878553909	1.1385732010496581e-10	1.0963526824614462e-12	110783	429738
CREB_0-ZNF_3	43.0	42.0	43.28316523216843	42.37258552938479	4.999491107788181e-10	1.259660892717275e-08	63553	252954
STAT_0-ZNF_3	42.0	41.0	41.56331328563028	41.01065238523744	2.2823704805924076e-09	7.026473641237752e-10	171757	664546
CTCF_0-E2F_1	25.0	23.0	26.771144128060037	25.416863149460465	4.782961784364307e-09	1.883913815709531e-09	33047	152261
E2F_1-RFX_1	42.0	39.0	41.06369107321966	38.27660569970225	1.7816716478905628e-08	5.0607437737112224e-09	5982	23510
FOS-JUN_0-RFX_1	40.0	38.0	40.618760484200024	39.1702422528965	4.085371142287699e-08	1.2814298276267417e-09	22057	72156
NFI_1-NFI_1	-20.0	-15.0	8.276130592503023	9.287214983713355	6.303846002889632e-08	7.581447392162583e-09	41350	184200
TAL_0-ZNF_0	39.0	39.0	40.64025834822042	40.25106389002202	6.774306110857359e-06	0.0007629943723955851	181925	777101
CREB_0-ZNF_0	44.0	43.0	44.051627408993575	43.30720857554963	9.61089843442928e-06	0.0002109651320151256	46700	183032
NF2L-NFE_0-RUNX_0	41.0	39.0	41.496670044882	40.50290823587649	1.4763233976480988e-05	5.8501146365162484e-05	27628	96966
ELF_0-STAT_0	29.0	28.0	31.798635635789335	31.00108514247646	1.5034907416951338e-05	4.921852373715473e-05	45589	145603
ATF-CEBP_0-GATA_1	42.0	40.0	42.41652197751988	40.86209376391219	2.115504784130376e-05	0.0009076375620427421	10943	29201
FOS-JUN_0-ZNF_3	42.0	42.0	42.43474890978468	42.88651616839536	2.3787985915461157e-05	9.235701142373884e-07	117408	396638
ATF-CREB-JUN_0-TAL_0	41.0	39.0	40.988252808228445	40.17984546039923	5.1834362427521824e-05	2.6500098845320785e-06	36945	124240
TAL_0-TAL_0	39.0	38.0	40.235961297258555	39.627150977374995	7.138713857276764e-05	3.356613913429941e-05	55810	206011
GATA_1-ZNF_3	43.0	42.0	43.35514661274014	42.69664483627204	0.00010490175637361228	0.0005403431221514016	49450	148875
ATF-CREB-JUN_0-ZNF_3	44.0	44.0	44.28126749933046	43.781678217719566	0.00011944934865008946	3.530973740162787e-07	82146	290594
CREB_0-CTCF_0	35.0	33.0	35.08505410938871	33.83414236236477	0.0001458349785520227	0.00018690751768993163	17095	74781
NF2L-NFE_0-STAT_0	39.0	38.0	40.08932763246143	39.4482264116349	0.00022005247864636718	0.00026807100627545904	47712	152713
ATF-CREB-JUN_0-NFI_1	40.0	40.0	41.26998385143319	40.32419630892518	0.0003788007369279485	3.4371819095621726e-05	19816	75371
ATF-CREB-JUN_0-RUNX_0	38.0	37.0	37.578143832864605	36.586721447116894	0.0005429887052765997	0.0007884755909728943	19912	70098
ATF-CEBP_0-ZNF_3	46.0	45.0	46.212079269186304	45.7104057486784	0.0005615620695769506	0.00024326796595515904	61411	218485
RFX_1-ZNF_3	45.0	46.0	45.17968430983258	45.6332822932236	0.0005822514919812721	3.71438604354931e-05	71019	273641
FOS-JUN_0-STAT_0	38.0	37.0	39.5378854143888	38.97194754563176	0.0006570170931035129	0.0008316138703954572	54876	169290
ATF-CEBP_0-ZNF_0	48.0	47.0	47.985927067283	47.372398732858755	0.0006629129789211065	0.0010049942296885945	38940	139211
FOS-JUN_0-RUNX_0	41.0	40.0	41.63245591286307	40.88879009711231	0.0007448001986059861	0.0071437349135582565	30848	101223
FOS-JUN_0-NFI_1	41.0	39.0	41.02680261310214	40.33812581308489	0.0014196659022078246	0.000450013168506405	32758	119145
NFI_0-TAL_0	43.0	42.0	43.478250420571975	42.97498986075436	0.0019426113840654235	0.0025277368366296094	49932	199719
ELF_0-TAL_0	37.0	36.0	38.73358189816733	38.234237921215545	0.0021588998628774814	0.003147978243988121	50691	173486
E2F_1-STAT_0	44.0	42.0	43.518881976693244	42.459196549429876	0.002399142117223394	0.024630759513149303	11413	43587
ATF-CEBP_0-NFI_1	42.0	41.0	42.26382037761524	41.40793217667917	0.0027356873516419886	0.0035383770421119182	17637	68531
ELF_0-ZNF_3	38.0	37.0	38.880634135225755	38.60929893421749	0.002900511473772606	4.226909161062727e-08	153595	551332
NFI_0-ZNF_0	45.0	45.0	45.79127988427851	45.45312703872069	0.00357379811114974	0.009551647266162427	87797	383206
RUNX_0-RUNX_0	17.0	17.0	24.427047704770477	25.041276448144295	0.005165033685667022	0.0018126329160846743	22220	95139
FOS-JUN_0-ZNF_0	43.0	44.0	43.651690674334375	44.027100755780154	0.0058694473539396596	0.0018738217182879902	72338	245971
ATF-CREB-JUN_0-CREB_0	22.0	24.0	27.093780655287425	28.095977280873473	0.006635718069190777	0.014559878356478434	10194	36269
CREB_0-NFI_1	36.0	34.0	37.30559033659866	36.38171574812945	0.006936577626278023	0.0008273759415016905	13577	56267
ATF-CEBP_0-NFI_0	44.0	43.0	44.5540828675157	43.82337792852208	0.007228150238117352	0.08847661370608784	17353	63684
CTCF_0-ZNF_3	30.0	30.0	31.071414176235052	31.246395422672403	0.009682027841256845	1.9980045380373637e-09	377110	1760678
CTCF_0-ZNF_0	30.0	31.0	31.16626775444331	31.370339191897603	0.010401944921896986	3.2925601927285102e-06	292462	1375593
NFI_0-NFI_1	17.0	18.0	25.673240814045545	26.094316921105676	0.010742216837772387	0.010313860294871078	42946	191991
RFX_1-TAL_0	43.0	42.0	43.59948161789782	43.06735580359597	0.012725049110531822	0.04174487784411052	29322	109122
E2F_1-NFI_0	32.0	33.0	33.6846671388102	34.507110276361686	0.01308880665175822	0.00029331391177203674	11296	48451
NF2L-NFE_0-NFI_1	38.0	37.0	39.89674147246992	39.36556470527812	0.01438416435120041	0.0031097346308056185	30167	116822
CTCF_0-CTCF_0	19.0	19.0	22.141880831559995	21.64220949310613	0.01495529509131087	0.1169270051544069	48872	243187
ATF-CREB-JUN_0-CTCF_0	34.0	33.0	34.22173873628864	33.51948547862707	0.015241704217451395	0.007677940399594591	22062	91658
ATF-CEBP_0-RFX_1	39.0	39.0	39.81482662415305	38.98689381133235	0.015743193699420475	0.01926692377138831	12545	45551
GATA_1-GATA_1	41.0	39.0	42.481966459912705	41.16694283347142	0.01694955980925265	9.020660516523846e-05	4353	9656
GATA_1-STAT_0	40.0	39.0	40.86466500356379	40.260563498597136	0.019443738970020462	0.06232036947601893	22448	59521
CTCF_0-GATA_1	37.0	39.0	37.24705043946472	38.074365744461026	0.021993067452256484	0.027007816177391786	12629	43555
RFX_1-ZNF_0	46.0	46.0	46.30877930816949	46.66979901089519	0.022380588495100214	0.03790951404924836	47555	186229
E2F_1-ELF_0	41.0	39.0	41.68269403925806	40.929650690495535	0.024144653134176925	0.0037576087648605295	11106	36930
NFI_0-STAT_0	37.0	36.0	37.746539253724194	37.31581947021461	0.025477023131313243	0.0417700467763048	41754	157913
