motif_id	motif_name	motif_name_orig	strand	motif_start	motif_end	motif_scale	lambda
0	pos_patterns.pattern_0	pos_patterns.pattern_0	+	7	23	0.1591845595432798	0.7
1	pos_patterns.pattern_0	pos_patterns.pattern_0	-	7	23	0.1591845595432798	0.7
2	pos_patterns.pattern_1	pos_patterns.pattern_1	+	8	22	0.2043593217381941	0.7
3	pos_patterns.pattern_1	pos_patterns.pattern_1	-	8	22	0.2043593217381941	0.7
4	pos_patterns.pattern_2	pos_patterns.pattern_2	+	10	21	0.09801020538234662	0.7
5	pos_patterns.pattern_2	pos_patterns.pattern_2	-	9	20	0.09801020538234662	0.7
6	pos_patterns.pattern_3	pos_patterns.pattern_3	+	10	20	0.14781713369132002	0.7
7	pos_patterns.pattern_3	pos_patterns.pattern_3	-	10	20	0.14781713369132002	0.7
8	pos_patterns.pattern_4	pos_patterns.pattern_4	+	9	17	0.11006271692812752	0.7
9	pos_patterns.pattern_4	pos_patterns.pattern_4	-	13	21	0.11006271692812752	0.7
10	pos_patterns.pattern_5	pos_patterns.pattern_5	+	8	23	0.12006094238257087	0.7
11	pos_patterns.pattern_5	pos_patterns.pattern_5	-	7	22	0.12006094238257087	0.7
12	pos_patterns.pattern_6	pos_patterns.pattern_6	+	6	22	0.10190408338858768	0.7
13	pos_patterns.pattern_6	pos_patterns.pattern_6	-	8	24	0.10190408338858768	0.7
14	pos_patterns.pattern_7	pos_patterns.pattern_7	+	12	23	0.14469596388362882	0.7
15	pos_patterns.pattern_7	pos_patterns.pattern_7	-	7	18	0.14469596388362882	0.7
16	pos_patterns.pattern_8	pos_patterns.pattern_8	+	7	16	0.10493088942363343	0.7
17	pos_patterns.pattern_8	pos_patterns.pattern_8	-	14	23	0.10493088942363343	0.7
18	pos_patterns.pattern_9	pos_patterns.pattern_9	+	10	20	0.09436442491538925	0.7
19	pos_patterns.pattern_9	pos_patterns.pattern_9	-	10	20	0.09436442491538925	0.7
20	pos_patterns.pattern_10	pos_patterns.pattern_10	+	8	23	0.10460609107726626	0.7
21	pos_patterns.pattern_10	pos_patterns.pattern_10	-	7	22	0.10460609107726626	0.7
22	pos_patterns.pattern_11	pos_patterns.pattern_11	+	9	20	0.12449688900767629	0.7
23	pos_patterns.pattern_11	pos_patterns.pattern_11	-	10	21	0.12449688900767629	0.7
24	pos_patterns.pattern_12	pos_patterns.pattern_12	+	4	30	0.13666171087573328	0.7
25	pos_patterns.pattern_12	pos_patterns.pattern_12	-	0	26	0.13666171087573328	0.7
26	pos_patterns.pattern_13	pos_patterns.pattern_13	+	6	28	0.095066321415715	0.7
27	pos_patterns.pattern_13	pos_patterns.pattern_13	-	2	24	0.095066321415715	0.7
28	pos_patterns.pattern_14	pos_patterns.pattern_14	+	5	30	0.07197378442377428	0.7
29	pos_patterns.pattern_14	pos_patterns.pattern_14	-	0	25	0.07197378442377428	0.7
30	pos_patterns.pattern_15	pos_patterns.pattern_15	+	12	24	0.1007590866544302	0.7
31	pos_patterns.pattern_15	pos_patterns.pattern_15	-	6	18	0.1007590866544302	0.7
32	pos_patterns.pattern_16	pos_patterns.pattern_16	+	5	25	0.12330122083595939	0.7
33	pos_patterns.pattern_16	pos_patterns.pattern_16	-	5	25	0.12330122083595939	0.7
34	pos_patterns.pattern_17	pos_patterns.pattern_17	+	8	18	0.141991083295464	0.7
35	pos_patterns.pattern_17	pos_patterns.pattern_17	-	12	22	0.141991083295464	0.7
36	pos_patterns.pattern_18	pos_patterns.pattern_18	+	8	27	0.07287789495366609	0.7
37	pos_patterns.pattern_18	pos_patterns.pattern_18	-	3	22	0.07287789495366609	0.7
38	pos_patterns.pattern_19	pos_patterns.pattern_19	+	1	19	0.07531242614888727	0.7
39	pos_patterns.pattern_19	pos_patterns.pattern_19	-	11	29	0.07531242614888727	0.7
40	pos_patterns.pattern_20	pos_patterns.pattern_20	+	2	21	0.2121645608811507	0.7
41	pos_patterns.pattern_20	pos_patterns.pattern_20	-	9	28	0.2121645608811507	0.7
42	pos_patterns.pattern_21	pos_patterns.pattern_21	+	10	30	0.08731884187411443	0.7
43	pos_patterns.pattern_21	pos_patterns.pattern_21	-	0	20	0.08731884187411443	0.7
44	pos_patterns.pattern_22	pos_patterns.pattern_22	+	9	24	0.13640101631873897	0.7
45	pos_patterns.pattern_22	pos_patterns.pattern_22	-	6	21	0.13640101631873897	0.7
46	pos_patterns.pattern_23	pos_patterns.pattern_23	+	0	21	0.11381612382191032	0.7
47	pos_patterns.pattern_23	pos_patterns.pattern_23	-	9	30	0.11381612382191032	0.7
48	pos_patterns.pattern_24	pos_patterns.pattern_24	+	7	21	0.08163829189639833	0.7
49	pos_patterns.pattern_24	pos_patterns.pattern_24	-	9	23	0.08163829189639833	0.7
50	pos_patterns.pattern_25	pos_patterns.pattern_25	+	8	25	0.09050072291865342	0.7
51	pos_patterns.pattern_25	pos_patterns.pattern_25	-	5	22	0.09050072291865342	0.7
52	pos_patterns.pattern_26	pos_patterns.pattern_26	+	0	21	0.1606477570263264	0.7
53	pos_patterns.pattern_26	pos_patterns.pattern_26	-	9	30	0.1606477570263264	0.7
54	pos_patterns.pattern_27	pos_patterns.pattern_27	+	4	18	0.11986671208281541	0.7
55	pos_patterns.pattern_27	pos_patterns.pattern_27	-	12	26	0.11986671208281541	0.7
56	pos_patterns.pattern_28	pos_patterns.pattern_28	+	10	29	0.12665142886241976	0.7
57	pos_patterns.pattern_28	pos_patterns.pattern_28	-	1	20	0.12665142886241976	0.7
58	pos_patterns.pattern_29	pos_patterns.pattern_29	+	1	28	0.07171703350651756	0.7
59	pos_patterns.pattern_29	pos_patterns.pattern_29	-	2	29	0.07171703350651756	0.7
60	pos_patterns.pattern_30	pos_patterns.pattern_30	+	0	23	0.11715536905842173	0.7
61	pos_patterns.pattern_30	pos_patterns.pattern_30	-	7	30	0.11715536905842173	0.7
62	pos_patterns.pattern_31	pos_patterns.pattern_31	+	1	30	0.10987238012376761	0.7
63	pos_patterns.pattern_31	pos_patterns.pattern_31	-	0	29	0.10987238012376761	0.7
64	pos_patterns.pattern_32	pos_patterns.pattern_32	+	0	26	0.086714952067618	0.7
65	pos_patterns.pattern_32	pos_patterns.pattern_32	-	4	30	0.086714952067618	0.7
66	pos_patterns.pattern_33	pos_patterns.pattern_33	+	5	22	0.10047299704334191	0.7
67	pos_patterns.pattern_33	pos_patterns.pattern_33	-	8	25	0.10047299704334191	0.7
68	pos_patterns.pattern_34	pos_patterns.pattern_34	+	9	27	0.11986465987422609	0.7
69	pos_patterns.pattern_34	pos_patterns.pattern_34	-	3	21	0.11986465987422609	0.7
70	pos_patterns.pattern_35	pos_patterns.pattern_35	+	6	20	0.08312030419764123	0.7
71	pos_patterns.pattern_35	pos_patterns.pattern_35	-	10	24	0.08312030419764123	0.7
72	pos_patterns.pattern_36	pos_patterns.pattern_36	+	9	28	0.10152052427390469	0.7
73	pos_patterns.pattern_36	pos_patterns.pattern_36	-	2	21	0.10152052427390469	0.7
74	pos_patterns.pattern_37	pos_patterns.pattern_37	+	7	23	0.1352702538663443	0.7
75	pos_patterns.pattern_37	pos_patterns.pattern_37	-	7	23	0.1352702538663443	0.7
76	pos_patterns.pattern_38	pos_patterns.pattern_38	+	5	26	0.13943492579874484	0.7
77	pos_patterns.pattern_38	pos_patterns.pattern_38	-	4	25	0.13943492579874484	0.7
