motif_name	num_hits_total	num_hits_restricted	num_seqlets	num_overlaps	num_seqlets_only	num_hits_restricted_only	seqlet_recall	cwm_similarity
pos_patterns.pattern_0	121498	121498	42939	41354	1585	80144	0.9630871701716388	0.99853515625
pos_patterns.pattern_1	49163	49163	36067	34164	1903	14999	0.9472370865333962	0.9990234375
pos_patterns.pattern_2	232739	232739	26096	25371	725	207368	0.9722179644389944	0.99658203125
pos_patterns.pattern_3	48265	48265	19310	18724	586	29541	0.9696530295183843	0.99853515625
pos_patterns.pattern_4	126548	126548	7329	6922	407	119626	0.9444671851548643	0.955078125
pos_patterns.pattern_5	22367	22367	5375	5227	148	17140	0.9724651162790697	0.99755859375
pos_patterns.pattern_6	13406	13406	4971	4872	99	8534	0.9800844900422451	0.998046875
pos_patterns.pattern_7	46312	46312	3395	3225	170	43087	0.9499263622974963	0.96728515625
pos_patterns.pattern_8	124034	124034	3072	2896	176	121138	0.9427083333333334	0.9267578125
pos_patterns.pattern_9	48858	48858	2947	2919	28	45939	0.9904988123515439	0.97607421875
pos_patterns.pattern_10	19075	19075	2772	2606	166	16469	0.9401154401154401	0.9970703125
pos_patterns.pattern_11	17584	17584	2437	2428	9	15156	0.9963069347558473	0.9873046875
pos_patterns.pattern_12	2293	2293	1900	1820	80	473	0.9578947368421052	1.0
pos_patterns.pattern_13	7349	7349	1759	1265	494	6084	0.7191586128482093	0.9892578125
pos_patterns.pattern_14	14075	14075	1608	249	1359	13826	0.15485074626865672	0.94189453125
pos_patterns.pattern_15	12511	12511	1008	970	38	11541	0.9623015873015873	0.94091796875
pos_patterns.pattern_16	1067	1067	847	830	17	237	0.9799291617473436	1.0
pos_patterns.pattern_17	87695	87695	578	553	25	87142	0.9567474048442907	0.9169921875
pos_patterns.pattern_18	2085	2085	427	329	98	1756	0.7704918032786885	0.9931640625
pos_patterns.pattern_19	6369	6369	412	343	69	6026	0.8325242718446602	0.990234375
pos_patterns.pattern_20	1080	1080	395	364	31	716	0.9215189873417722	0.998046875
pos_patterns.pattern_21	1002	1002	264	239	25	763	0.9053030303030303	0.9873046875
pos_patterns.pattern_22	13100	13100	254	254	0	12846	1.0	0.94140625
pos_patterns.pattern_23	53	53	245	9	236	44	0.036734693877551024	0.9462890625
pos_patterns.pattern_24	1525	1525	156	125	31	1400	0.8012820512820513	0.982421875
pos_patterns.pattern_25	915	915	118	117	1	798	0.9915254237288136	0.986328125
pos_patterns.pattern_26	11333	11333	82	80	2	11253	0.975609756097561	0.98095703125
pos_patterns.pattern_27	1497	1497	78	71	7	1426	0.9102564102564102	0.9853515625
pos_patterns.pattern_28	114	114	51	22	29	92	0.43137254901960786	0.96630859375
pos_patterns.pattern_29	322	322	47	25	22	297	0.5319148936170213	0.95947265625
pos_patterns.pattern_30	218	218	41	20	21	198	0.4878048780487805	0.9521484375
pos_patterns.pattern_31	623	623	36	21	15	602	0.5833333333333334	0.9775390625
pos_patterns.pattern_32	145	145	35	8	27	137	0.22857142857142856	0.94287109375
pos_patterns.pattern_33	9437	9437	33	33	0	9404	1.0	0.92431640625
pos_patterns.pattern_34	276	276	29	22	7	254	0.7586206896551724	0.97900390625
pos_patterns.pattern_35	3141	3141	28	28	0	3113	1.0	0.91357421875
pos_patterns.pattern_36	414	414	21	20	1	394	0.9523809523809523	0.923828125
pos_patterns.pattern_37	40232	40232	20	20	0	40212	1.0	0.97265625
pos_patterns.pattern_38	167	167	20	17	3	150	0.85	0.97705078125
