motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	++	0	0.4414	0.0543	0.0243	0.3026	0.0382	0.0171	5.2774	0.1827	0.0817
2	++	1	0.2304	0.0519	0.0232	0.0916	0.0358	0.016	5.1311	0.1935	0.0865
2	++	2	0.2166	0.0417	0.0187	0.0778	0.0238	0.0107	5.1215	0.1788	0.08
2	++	3	0.1899	0.0277	0.0124	0.0511	0.0155	0.0069	5.103	0.1754	0.0785
2	++	4	0.181	0.0239	0.0107	0.0421	0.0084	0.0037	5.0968	0.1741	0.0779
2	++	5	0.2004	0.0343	0.0154	0.0616	0.0184	0.0082	5.1103	0.1827	0.0817
2	++	6	0.1638	0.0133	0.006	0.025	0.0168	0.0075	5.0849	0.1696	0.0759
2	++	7	0.1315	0.0222	0.0099	-0.0073	0.0167	0.0075	5.0626	0.1769	0.0791
2	++	8	0.1607	0.0265	0.0119	0.0219	0.0236	0.0106	5.0828	0.1681	0.0752
2	++	9	0.1817	0.0224	0.01	0.0428	0.0128	0.0057	5.0973	0.1777	0.0795
2	++	10	0.1918	0.0226	0.0101	0.0529	0.0127	0.0057	5.1043	0.1741	0.0779
2	++	11	0.1847	0.026	0.0116	0.0458	0.0207	0.0093	5.0994	0.1728	0.0773
2	++	12	0.2218	0.0194	0.0087	0.0829	0.0087	0.0039	5.1251	0.173	0.0774
2	++	13	0.2201	0.0295	0.0132	0.0813	0.0169	0.0076	5.124	0.1831	0.0819
2	++	14	0.2318	0.0262	0.0117	0.0929	0.0111	0.005	5.132	0.1773	0.0793
2	++	15	0.2536	0.0266	0.0119	0.1147	0.0116	0.0052	5.1471	0.1779	0.0795
2	++	16	0.2676	0.0375	0.0168	0.1288	0.0239	0.0107	5.1569	0.1815	0.0812
2	++	17	0.2913	0.0456	0.0204	0.1525	0.027	0.0121	5.1733	0.1863	0.0833
2	++	18	0.2817	0.0409	0.0183	0.1429	0.0227	0.0102	5.1667	0.1863	0.0833
2	++	19	0.3089	0.045	0.0201	0.1701	0.0263	0.0118	5.1855	0.186	0.0832
2	++	20	0.3005	0.0411	0.0184	0.1617	0.0239	0.0107	5.1797	0.1872	0.0837
2	++	21	0.2992	0.0438	0.0196	0.1604	0.0255	0.0114	5.1788	0.1867	0.0835
2	++	22	0.3064	0.0491	0.022	0.1676	0.0326	0.0146	5.1838	0.1953	0.0873
2	++	23	0.3315	0.0485	0.0217	0.1927	0.0297	0.0133	5.2012	0.1899	0.0849
2	++	24	0.3289	0.0518	0.0232	0.19	0.0339	0.0152	5.1993	0.1952	0.0873
2	++	25	0.3565	0.0426	0.019	0.2177	0.0236	0.0105	5.2185	0.1845	0.0825
2	++	26	0.3549	0.0607	0.0271	0.2161	0.0424	0.0189	5.2174	0.1992	0.0891
2	++	27	0.3569	0.0421	0.0188	0.2181	0.0232	0.0104	5.2188	0.1853	0.0829
2	++	28	0.3474	0.0527	0.0236	0.2086	0.0348	0.0155	5.2122	0.195	0.0872
2	++	29	0.3357	0.0477	0.0213	0.1968	0.0287	0.0129	5.204	0.1888	0.0844
2	++	30	0.3381	0.0515	0.023	0.1992	0.0334	0.015	5.2057	0.1945	0.087
2	++	31	0.3462	0.0532	0.0238	0.2073	0.0347	0.0155	5.2113	0.1922	0.086
2	++	32	0.3279	0.0518	0.0232	0.189	0.034	0.0152	5.1986	0.1946	0.087
2	++	33	0.3546	0.0514	0.023	0.2158	0.0325	0.0145	5.2172	0.1894	0.0847
2	++	34	0.333	0.0504	0.0225	0.1942	0.0328	0.0146	5.2022	0.1908	0.0853
2	++	35	0.358	0.0457	0.0204	0.2192	0.0266	0.0119	5.2196	0.1863	0.0833
2	++	36	0.3423	0.0499	0.0223	0.2035	0.032	0.0143	5.2087	0.1917	0.0857
2	++	37	0.3348	0.0456	0.0204	0.1959	0.0271	0.0121	5.2034	0.1862	0.0832
2	++	38	0.3225	0.0471	0.021	0.1837	0.0299	0.0134	5.195	0.1897	0.0848
2	++	39	0.3346	0.0395	0.0177	0.1958	0.0209	0.0094	5.2033	0.1839	0.0822
2	++	40	0.317	0.0422	0.0189	0.1782	0.0241	0.0108	5.1911	0.1873	0.0838
2	++	41	0.3389	0.0442	0.0198	0.2001	0.0253	0.0113	5.2063	0.1866	0.0834
2	++	42	0.3422	0.0445	0.0199	0.2034	0.0266	0.0119	5.2086	0.1862	0.0833
2	++	43	0.3655	0.0434	0.0194	0.2267	0.0245	0.011	5.2248	0.1833	0.082
2	++	44	0.3712	0.0507	0.0227	0.2324	0.0329	0.0147	5.2287	0.1905	0.0852
2	++	45	0.3576	0.0464	0.0208	0.2188	0.0284	0.0127	5.2193	0.1864	0.0834
2	++	46	0.3324	0.047	0.021	0.1936	0.0284	0.0127	5.2018	0.1885	0.0843
2	++	47	0.3518	0.0496	0.0222	0.2129	0.0307	0.0137	5.2152	0.1869	0.0836
2	++	48	0.3431	0.0501	0.0224	0.2042	0.0314	0.014	5.2092	0.1895	0.0847
2	++	49	0.3455	0.0479	0.0214	0.2067	0.029	0.013	5.2109	0.1855	0.083
2	++	50	0.3448	0.0517	0.0231	0.206	0.033	0.0147	5.2104	0.1915	0.0856
2	+-	0	0.072	0.0157	0.007	-0.0668	0.0196	0.0088	5.0213	0.1744	0.078
2	+-	1	0.1748	0.0272	0.0122	0.036	0.0264	0.0118	5.0926	0.1807	0.0808
2	+-	2	0.2788	0.0333	0.0149	0.1399	0.0144	0.0064	5.1646	0.1804	0.0807
2	+-	3	0.3251	0.0338	0.0151	0.1863	0.0304	0.0136	5.1967	0.18	0.0805
2	+-	4	0.2856	0.0298	0.0133	0.1467	0.0199	0.0089	5.1693	0.1725	0.0772
2	+-	5	0.2549	0.0226	0.0101	0.1161	0.0179	0.008	5.1481	0.1785	0.0798
2	+-	6	0.234	0.0247	0.011	0.0952	0.0124	0.0056	5.1336	0.1787	0.0799
2	+-	7	0.254	0.0315	0.0141	0.1152	0.0236	0.0106	5.1475	0.1759	0.0787
2	+-	8	0.2526	0.0177	0.0079	0.1138	0.022	0.0099	5.1465	0.1688	0.0755
2	+-	9	0.2667	0.0201	0.009	0.1278	0.019	0.0085	5.1562	0.1703	0.0762
2	+-	10	0.2555	0.0093	0.0041	0.1166	0.0163	0.0073	5.1485	0.1678	0.075
2	+-	11	0.2778	0.0237	0.0106	0.139	0.0247	0.011	5.164	0.1673	0.0748
2	+-	12	0.2795	0.0178	0.0079	0.1407	0.0123	0.0055	5.1652	0.1747	0.0781
2	+-	13	0.2961	0.0268	0.012	0.1573	0.0212	0.0095	5.1766	0.1708	0.0764
2	+-	14	0.2967	0.0267	0.0119	0.1579	0.0136	0.0061	5.177	0.179	0.0801
2	+-	15	0.2992	0.029	0.013	0.1604	0.0272	0.0122	5.1788	0.17	0.076
2	+-	16	0.2931	0.023	0.0103	0.1543	0.0149	0.0067	5.1746	0.1754	0.0784
2	+-	17	0.2957	0.0246	0.011	0.1568	0.0209	0.0093	5.1763	0.1708	0.0764
2	+-	18	0.2958	0.0267	0.0119	0.157	0.0155	0.0069	5.1764	0.1784	0.0798
2	+-	19	0.2986	0.0268	0.012	0.1598	0.0189	0.0084	5.1783	0.1739	0.0778
2	+-	20	0.2809	0.0245	0.011	0.142	0.0176	0.0079	5.1661	0.1805	0.0807
2	+-	21	0.2995	0.0308	0.0138	0.1607	0.0254	0.0114	5.179	0.1731	0.0774
2	+-	22	0.3136	0.0337	0.0151	0.1748	0.0192	0.0086	5.1888	0.1832	0.0819
2	+-	23	0.318	0.0305	0.0137	0.1792	0.0218	0.0098	5.1918	0.1787	0.0799
2	+-	24	0.3048	0.0359	0.0161	0.166	0.023	0.0103	5.1827	0.1867	0.0835
2	+-	25	0.3197	0.0261	0.0117	0.1809	0.0217	0.0097	5.193	0.1733	0.0775
2	+-	26	0.3233	0.0293	0.0131	0.1845	0.0197	0.0088	5.1955	0.1826	0.0817
2	+-	27	0.3414	0.0293	0.0131	0.2026	0.0203	0.0091	5.208	0.1777	0.0795
2	+-	28	0.3385	0.0332	0.0149	0.1997	0.0236	0.0105	5.206	0.1853	0.0829
2	+-	29	0.3152	0.0254	0.0114	0.1763	0.0189	0.0085	5.1898	0.1758	0.0786
2	+-	30	0.3297	0.0391	0.0175	0.1909	0.0262	0.0117	5.1999	0.1882	0.0842
2	+-	31	0.3397	0.0247	0.0111	0.2008	0.0195	0.0087	5.2068	0.1739	0.0778
2	+-	32	0.3303	0.0293	0.0131	0.1915	0.0166	0.0074	5.2003	0.1827	0.0817
2	+-	33	0.3432	0.0236	0.0106	0.2044	0.0166	0.0074	5.2093	0.1749	0.0782
2	+-	34	0.3305	0.0253	0.0113	0.1917	0.0169	0.0075	5.2005	0.1802	0.0806
2	+-	35	0.332	0.0222	0.0099	0.1932	0.015	0.0067	5.2015	0.1751	0.0783
2	+-	36	0.3247	0.0273	0.0122	0.1859	0.0144	0.0064	5.1965	0.182	0.0814
2	+-	37	0.3422	0.0214	0.0096	0.2034	0.0117	0.0052	5.2086	0.1744	0.078
2	+-	38	0.3311	0.0195	0.0087	0.1923	0.0093	0.0042	5.2009	0.1762	0.0788
2	+-	39	0.3221	0.0212	0.0095	0.1833	0.0158	0.0071	5.1947	0.1722	0.077
2	+-	40	0.3115	0.026	0.0116	0.1727	0.0157	0.007	5.1873	0.1801	0.0805
2	+-	41	0.308	0.0209	0.0093	0.1691	0.0162	0.0073	5.1849	0.1704	0.0762
2	+-	42	0.3151	0.017	0.0076	0.1763	0.0078	0.0035	5.1898	0.173	0.0774
2	+-	43	0.3048	0.018	0.008	0.166	0.0111	0.005	5.1827	0.1721	0.077
2	+-	44	0.3144	0.0253	0.0113	0.1755	0.0156	0.007	5.1893	0.1797	0.0804
2	+-	45	0.321	0.0203	0.0091	0.1822	0.0129	0.0058	5.1939	0.1738	0.0777
2	+-	46	0.3018	0.0269	0.012	0.163	0.0136	0.0061	5.1806	0.1807	0.0808
2	+-	47	0.3284	0.0255	0.0114	0.1896	0.0178	0.008	5.199	0.1739	0.0778
2	+-	48	0.3242	0.0232	0.0104	0.1853	0.0127	0.0057	5.1961	0.1757	0.0786
2	+-	49	0.3133	0.0229	0.0102	0.1745	0.0146	0.0065	5.1885	0.1726	0.0772
2	+-	50	0.3107	0.027	0.0121	0.1719	0.0108	0.0048	5.1868	0.1787	0.0799
2	-+	0	0.1465	0.0444	0.0198	0.0076	0.0555	0.0248	5.0729	0.1383	0.0619
2	-+	1	0.1893	0.0262	0.0117	0.0505	0.0203	0.0091	5.1026	0.1714	0.0767
2	-+	2	0.1687	0.0061	0.0027	0.0299	0.0194	0.0087	5.0883	0.1657	0.0741
2	-+	3	0.1899	0.0321	0.0144	0.051	0.0249	0.0111	5.103	0.1709	0.0764
2	-+	4	0.1536	0.0183	0.0082	0.0148	0.0325	0.0145	5.0778	0.1647	0.0736
2	-+	5	0.1308	0.0196	0.0088	-0.0081	0.0243	0.0109	5.062	0.1649	0.0738
2	-+	6	0.1125	0.0196	0.0088	-0.0264	0.0338	0.0151	5.0493	0.1567	0.0701
2	-+	7	0.0932	0.0151	0.0067	-0.0456	0.0297	0.0133	5.036	0.1624	0.0726
2	-+	8	0.111	0.0183	0.0082	-0.0278	0.0295	0.0132	5.0484	0.1649	0.0738
2	-+	9	0.1095	0.021	0.0094	-0.0293	0.0252	0.0113	5.0473	0.1749	0.0782
2	-+	10	0.1831	0.0102	0.0046	0.0443	0.0241	0.0108	5.0983	0.1657	0.0741
2	-+	11	0.1904	0.0168	0.0075	0.0516	0.0305	0.0136	5.1034	0.1672	0.0748
2	-+	12	0.15	0.0213	0.0095	0.0112	0.0373	0.0167	5.0754	0.1591	0.0712
2	-+	13	0.1374	0.0104	0.0046	-0.0015	0.0225	0.0101	5.0666	0.1657	0.0741
2	-+	14	0.182	0.0294	0.0131	0.0431	0.0437	0.0195	5.0975	0.158	0.0707
2	-+	15	0.19	0.0194	0.0087	0.0512	0.015	0.0067	5.1031	0.177	0.0792
2	-+	16	0.202	0.0252	0.0113	0.0631	0.0395	0.0177	5.1114	0.1621	0.0725
2	-+	17	0.2031	0.016	0.0072	0.0643	0.0177	0.0079	5.1122	0.1692	0.0757
2	-+	18	0.2336	0.0295	0.0132	0.0948	0.0344	0.0154	5.1333	0.1736	0.0776
2	-+	19	0.2599	0.0225	0.01	0.1211	0.0174	0.0078	5.1516	0.1752	0.0784
2	-+	20	0.2819	0.0234	0.0105	0.143	0.0265	0.0119	5.1668	0.1726	0.0772
2	-+	21	0.2868	0.0358	0.016	0.148	0.024	0.0107	5.1702	0.1813	0.0811
2	-+	22	0.2861	0.0219	0.0098	0.1472	0.0179	0.008	5.1697	0.178	0.0796
2	-+	23	0.3068	0.0296	0.0132	0.168	0.0169	0.0076	5.1841	0.1792	0.0802
2	-+	24	0.3125	0.0201	0.009	0.1736	0.0173	0.0077	5.188	0.1781	0.0797
2	-+	25	0.333	0.031	0.0139	0.1942	0.0231	0.0103	5.2022	0.1795	0.0803
2	-+	26	0.3313	0.0313	0.014	0.1925	0.0228	0.0102	5.201	0.1856	0.083
2	-+	27	0.3153	0.0216	0.0097	0.1764	0.0197	0.0088	5.1899	0.1741	0.0779
2	-+	28	0.3364	0.027	0.0121	0.1976	0.0179	0.008	5.2046	0.1825	0.0816
2	-+	29	0.3328	0.0279	0.0125	0.194	0.0233	0.0104	5.2021	0.1759	0.0787
2	-+	30	0.3247	0.0397	0.0177	0.1858	0.0283	0.0127	5.1964	0.1912	0.0855
2	-+	31	0.3169	0.0248	0.0111	0.1781	0.0208	0.0093	5.191	0.1758	0.0786
2	-+	32	0.3116	0.0342	0.0153	0.1728	0.0221	0.0099	5.1874	0.1865	0.0834
2	-+	33	0.3343	0.0243	0.0109	0.1955	0.0185	0.0083	5.2031	0.1742	0.0779
2	-+	34	0.3347	0.0385	0.0172	0.1958	0.0244	0.0109	5.2034	0.1896	0.0848
2	-+	35	0.3485	0.0308	0.0138	0.2097	0.0217	0.0097	5.213	0.178	0.0796
2	-+	36	0.3175	0.0306	0.0137	0.1787	0.0184	0.0082	5.1915	0.1841	0.0824
2	-+	37	0.3125	0.0257	0.0115	0.1737	0.0176	0.0079	5.188	0.1766	0.079
2	-+	38	0.3294	0.0304	0.0136	0.1906	0.017	0.0076	5.1997	0.1834	0.082
2	-+	39	0.3441	0.0259	0.0116	0.2052	0.0206	0.0092	5.2099	0.1738	0.0777
2	-+	40	0.3404	0.0359	0.0161	0.2015	0.0252	0.0113	5.2073	0.1868	0.0835
2	-+	41	0.3647	0.0308	0.0138	0.2258	0.0227	0.0101	5.2242	0.1778	0.0795
2	-+	42	0.3558	0.035	0.0156	0.217	0.0208	0.0093	5.218	0.1865	0.0834
2	-+	43	0.3724	0.0276	0.0124	0.2335	0.0173	0.0077	5.2295	0.1767	0.079
2	-+	44	0.3568	0.0391	0.0175	0.218	0.0241	0.0108	5.2187	0.1877	0.0839
2	-+	45	0.3451	0.0278	0.0124	0.2063	0.0187	0.0084	5.2106	0.1761	0.0787
2	-+	46	0.3286	0.0315	0.0141	0.1898	0.0178	0.008	5.1992	0.1838	0.0822
2	-+	47	0.3492	0.0262	0.0117	0.2103	0.0155	0.007	5.2134	0.1744	0.078
2	-+	48	0.34	0.0332	0.0148	0.2012	0.0187	0.0084	5.207	0.1837	0.0821
2	-+	49	0.3475	0.031	0.0139	0.2086	0.0222	0.0099	5.2122	0.1785	0.0798
2	-+	50	0.3338	0.0338	0.0151	0.1949	0.0216	0.0096	5.2027	0.1847	0.0826
