motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	++	0	0.4294	0.0571	0.0255	0.2922	0.0404	0.0181	5.3072	0.1836	0.0821
2	++	1	0.2262	0.0486	0.0217	0.089	0.0319	0.0143	5.1663	0.1878	0.084
2	++	2	0.2185	0.0408	0.0182	0.0813	0.0214	0.0096	5.161	0.1726	0.0772
2	++	3	0.1782	0.0291	0.013	0.041	0.0137	0.0061	5.1331	0.1735	0.0776
2	++	4	0.1721	0.0252	0.0113	0.0349	0.0108	0.0048	5.1288	0.1685	0.0753
2	++	5	0.184	0.0321	0.0144	0.0468	0.0179	0.008	5.1371	0.1762	0.0788
2	++	6	0.1585	0.0149	0.0067	0.0213	0.0173	0.0077	5.1194	0.1631	0.073
2	++	7	0.1287	0.0261	0.0117	-0.0085	0.0209	0.0093	5.0987	0.1709	0.0764
2	++	8	0.1503	0.0281	0.0126	0.0131	0.0192	0.0086	5.1137	0.1646	0.0736
2	++	9	0.1757	0.0236	0.0106	0.0385	0.0088	0.0039	5.1313	0.1741	0.0779
2	++	10	0.1867	0.0276	0.0124	0.0495	0.0131	0.0059	5.1389	0.1709	0.0764
2	++	11	0.1741	0.0258	0.0116	0.0369	0.0164	0.0073	5.1302	0.1707	0.0764
2	++	12	0.2047	0.0199	0.0089	0.0675	0.0074	0.0033	5.1515	0.168	0.0751
2	++	13	0.2067	0.025	0.0112	0.0695	0.0119	0.0053	5.1528	0.1752	0.0784
2	++	14	0.2084	0.03	0.0134	0.0712	0.0149	0.0067	5.154	0.1749	0.0782
2	++	15	0.2255	0.0293	0.0131	0.0883	0.0157	0.007	5.1659	0.1761	0.0787
2	++	16	0.235	0.0361	0.0161	0.0978	0.0191	0.0086	5.1724	0.1772	0.0793
2	++	17	0.2624	0.0439	0.0196	0.1252	0.0238	0.0106	5.1914	0.1831	0.0819
2	++	18	0.2709	0.0382	0.0171	0.1337	0.0206	0.0092	5.1973	0.1824	0.0816
2	++	19	0.2778	0.0454	0.0203	0.1406	0.0258	0.0115	5.2021	0.1852	0.0828
2	++	20	0.2921	0.0453	0.0203	0.1549	0.0277	0.0124	5.212	0.1869	0.0836
2	++	21	0.311	0.0468	0.0209	0.1738	0.0273	0.0122	5.2251	0.1831	0.0819
2	++	22	0.2952	0.0458	0.0205	0.158	0.0289	0.0129	5.2142	0.1886	0.0843
