motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_AP1_2_mean	log2_fc_vs_single_AP1_2_std	log2_fc_vs_single_AP1_2_sem
2	++	0	0.4879	0.0494	0.0221	0.2721	0.0389	0.0174	5.3216	0.1709	0.0764	0.3523	0.044	0.0197	0.192	0.0415	0.0186
2	++	1	0.3152	0.0326	0.0146	0.0994	0.0223	0.01	5.2018	0.1752	0.0783	0.1795	0.0159	0.0071	0.0192	0.0371	0.0166
2	++	2	0.3799	0.0434	0.0194	0.1641	0.0309	0.0138	5.2467	0.1616	0.0723	0.2443	0.0434	0.0194	0.084	0.0256	0.0115
2	++	3	0.5407	0.0526	0.0235	0.3249	0.039	0.0174	5.3581	0.1786	0.0799	0.4051	0.0465	0.0208	0.2447	0.0389	0.0174
2	++	4	0.5748	0.0521	0.0233	0.359	0.0415	0.0186	5.3818	0.1576	0.0705	0.4392	0.0451	0.0202	0.2789	0.0453	0.0202
2	++	5	0.564	0.021	0.0094	0.3483	0.0106	0.0048	5.3743	0.1673	0.0748	0.4284	0.0195	0.0087	0.2681	0.0218	0.0098
2	++	6	0.5666	0.046	0.0206	0.3508	0.0328	0.0147	5.3761	0.1692	0.0757	0.431	0.0397	0.0178	0.2706	0.0347	0.0155
2	++	7	0.5333	0.0428	0.0191	0.3175	0.0371	0.0166	5.353	0.1842	0.0824	0.3977	0.0251	0.0112	0.2374	0.0524	0.0234
2	++	8	0.5692	0.027	0.0121	0.3534	0.0168	0.0075	5.3779	0.1649	0.0737	0.4335	0.0193	0.0086	0.2732	0.0287	0.0128
2	++	9	0.5617	0.0254	0.0114	0.3459	0.022	0.0098	5.3727	0.1705	0.0762	0.4261	0.0052	0.0023	0.2657	0.0397	0.0177
2	++	10	0.5724	0.0378	0.0169	0.3566	0.024	0.0107	5.3801	0.1695	0.0758	0.4367	0.0273	0.0122	0.2764	0.0322	0.0144
2	++	11	0.5428	0.0355	0.0159	0.327	0.0229	0.0102	5.3596	0.1744	0.078	0.4072	0.0266	0.0119	0.2468	0.0312	0.014
2	++	12	0.5346	0.0246	0.011	0.3188	0.0113	0.0051	5.3539	0.1619	0.0724	0.399	0.0251	0.0112	0.2387	0.0161	0.0072
2	++	13	0.5314	0.0254	0.0114	0.3156	0.0164	0.0073	5.3517	0.1724	0.0771	0.3958	0.0162	0.0072	0.2355	0.0301	0.0135
2	++	14	0.5399	0.0386	0.0173	0.3241	0.027	0.0121	5.3576	0.1575	0.0704	0.4042	0.0405	0.0181	0.2439	0.0211	0.0094
2	++	15	0.5158	0.0366	0.0163	0.3	0.026	0.0116	5.3409	0.1796	0.0803	0.3802	0.0244	0.0109	0.2198	0.0373	0.0167
2	++	16	0.5298	0.0356	0.0159	0.314	0.0215	0.0096	5.3506	0.1671	0.0747	0.3942	0.0326	0.0146	0.2339	0.0223	0.01
2	++	17	0.5151	0.0363	0.0162	0.2993	0.0251	0.0112	5.3404	0.1771	0.0792	0.3795	0.0202	0.009	0.2191	0.0385	0.0172
2	++	18	0.5325	0.0353	0.0158	0.3167	0.0215	0.0096	5.3525	0.1679	0.0751	0.3969	0.0257	0.0115	0.2365	0.0299	0.0134
2	++	19	0.5254	0.0357	0.016	0.3096	0.0282	0.0126	5.3475	0.1811	0.081	0.3898	0.022	0.0098	0.2294	0.0418	0.0187
2	++	20	0.537	0.0418	0.0187	0.3212	0.0279	0.0125	5.3556	0.1725	0.0772	0.4014	0.0302	0.0135	0.2411	0.0357	0.016
2	++	21	0.5048	0.0287	0.0128	0.289	0.0205	0.0092	5.3333	0.1739	0.0778	0.3692	0.0114	0.0051	0.2089	0.0366	0.0164
2	++	22	0.5228	0.0275	0.0123	0.307	0.0139	0.0062	5.3457	0.1668	0.0746	0.3871	0.0208	0.0093	0.2268	0.0242	0.0108
2	++	23	0.4995	0.0307	0.0137	0.2837	0.0228	0.0102	5.3296	0.177	0.0792	0.3639	0.0241	0.0108	0.2036	0.033	0.0148
2	++	24	0.5121	0.0249	0.0112	0.2963	0.0105	0.0047	5.3383	0.1655	0.074	0.3765	0.0214	0.0096	0.2161	0.0198	0.0089
2	++	25	0.4993	0.0342	0.0153	0.2835	0.0254	0.0114	5.3294	0.1787	0.0799	0.3636	0.0188	0.0084	0.2033	0.0396	0.0177
2	++	26	0.5255	0.0272	0.0122	0.3097	0.0185	0.0083	5.3476	0.1734	0.0775	0.3898	0.0122	0.0055	0.2295	0.0342	0.0153
2	++	27	0.5286	0.0347	0.0155	0.3128	0.0265	0.0118	5.3498	0.18	0.0805	0.393	0.0213	0.0095	0.2327	0.0397	0.0178
2	++	28	0.5237	0.0257	0.0115	0.3079	0.0136	0.0061	5.3464	0.1702	0.0761	0.3881	0.0162	0.0072	0.2277	0.0272	0.0122
2	++	29	0.5096	0.0356	0.0159	0.2938	0.0269	0.012	5.3366	0.18	0.0805	0.3739	0.0212	0.0095	0.2136	0.0403	0.018
2	++	30	0.5126	0.027	0.0121	0.2968	0.0143	0.0064	5.3387	0.1708	0.0764	0.377	0.0181	0.0081	0.2167	0.0267	0.0119
2	++	31	0.5053	0.0358	0.016	0.2895	0.0251	0.0112	5.3336	0.1788	0.0799	0.3697	0.0251	0.0112	0.2093	0.0355	0.0159
2	++	32	0.5053	0.0285	0.0128	0.2895	0.015	0.0067	5.3336	0.1672	0.0748	0.3697	0.0202	0.009	0.2093	0.0259	0.0116
