motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	++	0	0.606	0.0157	0.007	0.4029	0.0107	0.0048	1.5075	0.1085	0.0485
2	++	1	0.4111	0.0322	0.0144	0.2079	0.0235	0.0105	1.3724	0.1198	0.0536
2	++	2	0.3348	0.0156	0.007	0.1317	0.0202	0.009	1.3195	0.0994	0.0445
2	++	3	0.4945	0.0389	0.0174	0.2914	0.029	0.013	1.4302	0.1238	0.0554
2	++	4	0.4159	0.019	0.0085	0.2127	0.0123	0.0055	1.3757	0.1142	0.0511
2	++	5	0.3747	0.0269	0.012	0.1716	0.0198	0.0089	1.3471	0.1157	0.0517
2	++	6	0.3537	0.0173	0.0077	0.1505	0.0086	0.0038	1.3326	0.114	0.051
2	++	7	0.3948	0.0332	0.0148	0.1917	0.0239	0.0107	1.3611	0.122	0.0545
2	++	8	0.3154	0.0213	0.0095	0.1122	0.013	0.0058	1.306	0.1168	0.0522
2	++	9	0.3158	0.0332	0.0148	0.1127	0.0226	0.0101	1.3064	0.1214	0.0543
2	++	10	0.3382	0.0172	0.0077	0.1351	0.0089	0.004	1.3219	0.1131	0.0506
2	++	11	0.3172	0.0199	0.0089	0.114	0.0119	0.0053	1.3073	0.1157	0.0517
2	++	12	0.339	0.0254	0.0114	0.1359	0.0146	0.0065	1.3224	0.1197	0.0535
2	++	13	0.3457	0.0231	0.0103	0.1425	0.0124	0.0055	1.327	0.1161	0.0519
2	++	14	0.3458	0.0295	0.0132	0.1427	0.0189	0.0084	1.3271	0.1225	0.0548
2	++	15	0.3567	0.0194	0.0087	0.1536	0.0082	0.0037	1.3347	0.115	0.0514
2	++	16	0.3643	0.0245	0.011	0.1612	0.0138	0.0062	1.3399	0.1185	0.053
2	++	17	0.3868	0.0202	0.009	0.1837	0.0107	0.0048	1.3555	0.1142	0.0511
2	++	18	0.3811	0.0203	0.0091	0.178	0.0091	0.0041	1.3516	0.1162	0.052
2	++	19	0.3988	0.0224	0.01	0.1957	0.0121	0.0054	1.3639	0.1175	0.0526
2	++	20	0.389	0.0259	0.0116	0.1859	0.0154	0.0069	1.3571	0.1199	0.0536
2	++	21	0.4005	0.028	0.0125	0.1974	0.0172	0.0077	1.365	0.1204	0.0538
2	++	22	0.3965	0.0196	0.0088	0.1934	0.0087	0.0039	1.3623	0.1159	0.0518
2	++	23	0.4084	0.0213	0.0095	0.2052	0.0107	0.0048	1.3705	0.117	0.0523
2	++	24	0.3877	0.0185	0.0083	0.1846	0.0077	0.0034	1.3562	0.1149	0.0514
2	++	25	0.432	0.0238	0.0107	0.2289	0.0123	0.0055	1.3869	0.1183	0.0529
2	++	26	0.402	0.0212	0.0095	0.1989	0.0102	0.0046	1.3661	0.1172	0.0524
2	++	27	0.4177	0.0211	0.0094	0.2146	0.0106	0.0048	1.3769	0.1171	0.0524
