chr	center	observed_log	atac_pred_log	true_residual	class	K562seq_to_GM_residual	K562mm_to_GM_residual	K562resSeq_to_GM_residual	K562resMM_to_GM_residual
chr21	44241004	0.0	5.0480137	-5.0480137	accessible_not_acetylated	-1.6998394	-0.8051944	-1.5054882	-1.2848873
chr7	144195698	0.0	4.5133076	-4.5133076	accessible_not_acetylated	-1.8492703	0.5066376	-0.38730335	0.11692953
chr7	144355395	0.0	4.4427176	-4.4427176	accessible_not_acetylated	-0.08083534	0.8700075	0.08291912	0.3957796
chr22	23966837	0.0	4.4065213	-4.4065213	accessible_not_acetylated	0.5564089	0.9819679	-0.15021276	0.24935341
chr22	21468317	0.6931472	5.048038	-4.354891	accessible_not_acetylated	-2.794765	-0.91914606	-1.7195058	-1.2849236
chr8	29334985	0.0	4.157047	-4.157047	accessible_not_acetylated	-1.654978	1.065907	0.27195787	0.47807837
chr20	52974332	0.0	4.0766783	-4.0766783	accessible_not_acetylated	-1.78595	0.99932384	0.04489565	-0.08529019
chr6	170291557	0.0	3.9977918	-3.9977918	accessible_not_acetylated	-0.647882	-0.46045327	-1.0549839	-1.0265474
chr7	2519596	0.0	3.990591	-3.990591	accessible_not_acetylated	-1.2856655	-0.67088604	-0.9636843	-0.73220706
chr22	28883548	0.0	3.9845805	-3.9845805	accessible_not_acetylated	0.090186596	-0.42567062	-0.9825311	-0.7756753
chr10	102231077	0.0	3.984041	-3.984041	accessible_not_acetylated	-0.2637248	-0.544914	-0.965049	-1.4382317
chr7	74964817	0.0	3.9242902	-3.9242902	accessible_not_acetylated	0.18330336	-0.27652884	-0.34865737	-0.64634705
chr7	74773961	0.0	3.8938885	-3.8938885	accessible_not_acetylated	-0.7447052	1.7413163	-0.00773263	0.6463752
chr10	28302966	0.0	3.861654	-3.861654	accessible_not_acetylated	-1.5414605	-0.69349	-1.2904813	-1.414808
chr10	75402101	1.3862944	5.2045774	-3.818283	accessible_not_acetylated	-2.864543	0.40476513	-0.8335571	-0.25166512
chr7	82434649	0.6931472	4.4749265	-3.7817793	accessible_not_acetylated	-2.4868135	-0.12001562	-0.032803535	-0.009760857
chr12	70366066	1.0986123	4.8656626	-3.7670503	accessible_not_acetylated	-2.0335364	-0.565362	-1.0336945	-1.0781198
chr7	82384158	1.0986123	4.849047	-3.7504349	accessible_not_acetylated	-2.548503	0.37107277	0.17239618	0.03239298
chr7	5524435	1.3862944	5.128842	-3.7425475	accessible_not_acetylated	-3.0128841	-0.42864418	-0.04370451	-0.38105154
chr10	77637819	0.0	3.7231262	-3.7231262	accessible_not_acetylated	-1.2166562	0.037436724	-0.86804676	-1.0586944
chr8	88327432	0.0	3.7084208	-3.7084208	accessible_not_acetylated	-0.88788676	-0.5982318	-0.6254444	-1.5635629
chr10	43221309	0.0	3.6978123	-3.6978123	accessible_not_acetylated	-0.7054634	0.6342304	-0.40708065	0.22545147
chr8	29334240	0.6931472	4.374553	-3.681406	accessible_not_acetylated	-2.127103	0.38055754	-0.0020594597	0.20151043
chr10	119029562	0.0	3.6502156	-3.6502156	accessible_not_acetylated	-0.66974807	-0.7003434	-0.8248503	-1.183557
chr6	84575469	0.6931472	4.3416805	-3.6485333	accessible_not_acetylated	-1.7839468	0.9437103	0.11079502	0.2669425
chr17	19127468	0.0	3.6480477	-3.6480477	accessible_not_acetylated	-0.15898395	1.0933249	0.16280222	0.2258718
chr12	15732117	1.3862944	5.024338	-3.6380434	accessible_not_acetylated	-2.449163	0.62297964	0.12958956	-0.11045742
chr8	104754601	0.0	3.6379547	-3.6379547	accessible_not_acetylated	-1.0384264	1.6189241	0.2824769	0.3251481
chr18	34223551	0.6931472	4.3259306	-3.6327834	accessible_not_acetylated	-1.6893759	-0.098855495	-0.48709083	-0.3866403
chr6	151702545	1.3862944	5.0132713	-3.626977	accessible_not_acetylated	-2.7401385	-0.41902876	-0.10181284	-0.5349264
chr10	29735453	0.6931472	4.319038	-3.6258907	accessible_not_acetylated	-0.9702449	-0.09362745	-0.7728424	-0.8146119
chr7	82443806	0.6931472	4.3189707	-3.6258235	accessible_not_acetylated	-1.37676	0.3258562	-1.0633154	-0.6259687
chr7	1459487	0.6931472	4.3165164	-3.6233692	accessible_not_acetylated	-0.14521885	-1.0285587	-0.9420428	-1.3772564
chr18	34222315	1.0986123	4.7191076	-3.6204953	accessible_not_acetylated	-1.2127852	0.4771099	-0.34962177	0.14017296
chr7	44039161	0.6931472	4.305384	-3.612237	accessible_not_acetylated	-1.7968085	-0.12381077	-0.59601593	-0.6082864
chr20	52972388	0.0	3.6024985	-3.6024985	accessible_not_acetylated	-0.22748041	0.5131612	0.04732418	0.30426383
chr22	46150372	1.0986123	4.6890364	-3.590424	accessible_not_acetylated	-1.6149004	-0.5965657	-0.7619159	-0.62062645
chr17	19047023	0.0	3.5890992	-3.5890992	accessible_not_acetylated	-0.6218777	0.8926556	-0.13014269	0.20784402
chr10	43202547	0.0	3.586061	-3.586061	accessible_not_acetylated	-0.8040006	-0.9177015	-1.385515	-1.3251314
chr10	102403975	0.6931472	4.2761846	-3.5830374	accessible_not_acetylated	-2.3333917	-0.3238938	-0.5980272	-0.5983968
chr6	97668842	0.0	3.5621467	-3.5621467	accessible_not_acetylated	-0.44893312	0.96203375	-0.14390063	-0.019670248
chr10	102404995	0.0	3.535747	-3.535747	accessible_not_acetylated	-2.0112872	0.082948446	-0.8910239	-0.73069906
chr17	80036640	0.0	3.5271022	-3.5271022	accessible_not_acetylated	1.0315125	-0.69057155	-0.25714564	-0.36469197
chr8	23102844	0.0	3.5269334	-3.5269334	accessible_not_acetylated	-1.377749	-0.11064553	-0.8493612	-0.28148103
chr7	39406558	0.0	3.5147886	-3.5147886	accessible_not_acetylated	-0.89422464	0.704967	0.016593456	2.861023e-05
chr7	29289207	0.6931472	4.2056627	-3.5125155	accessible_not_acetylated	-1.5311048	1.2676587	0.2039547	0.62393713
