chr	center	observed_log	atac_pred_log	true_residual	class	GMseq_to_K562_residual	GMmm_to_K562_residual	GMresSeq_to_K562_residual	GMresMM_to_K562_residual
chr7	143620965	0.0	5.3725977	-5.3725977	accessible_not_acetylated	-2.5686457	-0.51108456	-0.87931156	0.04541111
chr22	23966837	0.0	4.886704	-4.886704	accessible_not_acetylated	-0.22298717	-1.3712692	-0.02003336	-0.88386774
chr17	50560867	0.0	4.726952	-4.726952	accessible_not_acetylated	-1.7589555	-2.1303349	-1.198906	-1.5268779
chr7	74788767	0.6931472	5.158295	-4.465148	accessible_not_acetylated	-1.578747	-1.5297577	-1.3278093	-0.50952387
chr8	142614536	0.0	4.3354874	-4.3354874	accessible_not_acetylated	-2.2088537	-2.8617027	-1.4379048	-1.7864349
chr7	143836704	1.0986123	5.430093	-4.3314805	accessible_not_acetylated	-2.3632338	-0.3820095	-1.0308104	0.10431337
chr7	75237802	0.0	4.3285637	-4.3285637	accessible_not_acetylated	-0.35596013	-0.33551502	-0.8431289	-0.38137007
chr21	8989412	1.3862944	5.6449833	-4.258689	accessible_not_acetylated	-3.322925	0.023880959	-0.15968657	-0.08040428
chr12	82686982	0.6931472	4.891004	-4.197857	accessible_not_acetylated	-1.4345691	-2.2629948	-0.83474874	-1.3803549
chr22	21467169	0.0	4.150971	-4.150971	accessible_not_acetylated	-2.0468478	-0.74146986	-0.9253464	-0.85637426
chr12	109714334	0.6931472	4.807578	-4.114431	accessible_not_acetylated	-2.8554747	-1.714848	-1.639261	-1.2048693
chr7	73123888	0.6931472	4.786393	-4.093246	accessible_not_acetylated	-3.1818197	-0.98486185	0.14344501	0.10218239
chr7	73235371	1.0986123	5.1435294	-4.044917	accessible_not_acetylated	-1.7566075	-1.7055426	-1.4772525	-0.5769367
chr7	44036574	0.0	3.9598854	-3.9598854	accessible_not_acetylated	-1.2847214	-0.59200764	-0.46728587	-0.45551205
chr17	46590668	0.0	3.8982248	-3.8982248	accessible_not_acetylated	-1.7968514	-1.6835141	-0.51779795	-0.8301773
chr22	18906222	0.0	3.8889036	-3.8889036	accessible_not_acetylated	-0.2702887	-0.9393439	-1.4765124	-1.2735419
chr7	150110544	0.0	3.858273	-3.858273	accessible_not_acetylated	-2.4099238	-1.8864665	-1.3950458	-1.9713383
chr17	8885963	0.0	3.8541427	-3.8541427	accessible_not_acetylated	-0.54247785	-2.594061	-3.2164466	-1.9870348
chr21	34375464	0.0	3.8501294	-3.8501294	accessible_not_acetylated	0.7821939	-0.37368655	0.12528658	-0.6510947
chr21	8992210	2.0794415	5.890624	-3.8111825	accessible_not_acetylated	-3.084058	0.57974005	0.16531706	0.2592721
chr21	8420160	1.609438	5.358822	-3.749384	accessible_not_acetylated	-4.0576367	-0.28709936	-0.6374965	0.07752466
chr12	46358319	1.609438	5.3547077	-3.7452698	accessible_not_acetylated	-3.7005417	-0.90955687	0.09467125	-0.25337029
chr8	28623020	1.609438	5.3356647	-3.7262268	accessible_not_acetylated	-2.920172	-2.967717	-1.0634208	-1.8762531
chr22	18528689	1.0986123	4.785404	-3.686792	accessible_not_acetylated	-2.5872386	-0.40626383	-2.0427868	-0.17473555
chr21	8990385	2.1972246	5.858596	-3.6613712	accessible_not_acetylated	-3.685618	-0.3183713	-0.35122013	-0.021565914
chr7	102517778	0.0	3.642129	-3.642129	accessible_not_acetylated	-1.7450697	-1.475827	-0.53399897	-1.1914787
chr21	8996199	2.0794415	5.7015257	-3.6220841	accessible_not_acetylated	-3.4570055	-0.2785058	0.088647366	-0.10587549
chr21	43076392	0.6931472	4.312411	-3.6192636	accessible_not_acetylated	-1.7864976	-1.3295579	-1.1096873	-1.1614599
chr7	102592752	1.0986123	4.710765	-3.6121526	accessible_not_acetylated	-2.8114846	-0.74522924	-0.82473636	-0.15733051
chr21	8988855	0.6931472	4.2995687	-3.6064215	accessible_not_acetylated	-0.8705833	0.13237238	-0.1263175	0.1015501
chr21	6467633	0.6931472	4.295122	-3.601975	accessible_not_acetylated	-1.4527657	-1.210258	-1.1731572	-1.3221896
chr7	102490732	0.6931472	4.271193	-3.5780458	accessible_not_acetylated	-1.6871881	-0.41559458	-0.18545437	0.0773983
chr21	45643374	1.0986123	4.6488404	-3.550228	accessible_not_acetylated	-0.44395924	-2.7551112	-1.2607522	-1.6087136
chr7	73154911	1.609438	5.154068	-3.54463	accessible_not_acetylated	-2.1920118	-1.0828109	-0.5972872	-0.2157793
chr8	37695623	1.609438	5.1289406	-3.5195026	accessible_not_acetylated	-3.485333	-2.3029306	-1.6030891	-1.892575
chr7	29680800	1.0986123	4.6094675	-3.5108552	accessible_not_acetylated	-2.7941203	-0.6471069	-0.041855335	-0.6477854
chr22	21514503	1.0986123	4.597592	-3.4989796	accessible_not_acetylated	-1.2258596	0.35475636	-0.19738722	-0.10344696
chr18	26197296	0.0	3.4953709	-3.4953709	accessible_not_acetylated	-1.1336923	-0.91040874	-0.06674242	-0.09890413
chr21	8994141	2.7080503	6.1947217	-3.4866714	accessible_not_acetylated	-4.426341	-0.55487204	-0.10456371	-0.3313651
chr17	63476966	0.6931472	4.1796207	-3.4864736	accessible_not_acetylated	-1.4695413	-1.7637169	-1.2198653	-1.5002913
chr22	21424533	0.6931472	4.1775703	-3.4844232	accessible_not_acetylated	-1.9630704	1.1968851	-0.22750425	0.37473345
chr18	67516819	1.3862944	4.831402	-3.4451075	accessible_not_acetylated	-1.6533666	-2.428851	-1.4133077	-1.5425382
chr10	116742868	1.0986123	4.54108	-3.4424677	accessible_not_acetylated	-2.695128	-2.8458576	-1.2611225	-1.4151068
chr22	18970685	1.0986123	4.5303583	-3.431746	accessible_not_acetylated	-1.9258251	-1.712121	-0.5062561	-1.0386868
