chr	center	observed_log	atac_pred_log	true_residual	class	sequence5p_residual	multimodal5p_residual	residual_sequence_residual	residual_multimodal_residual	residual_atac_residual
chr21	44241004	0.0	5.0480137	-5.0480137	accessible_not_acetylated	-2.908578	-1.8493412	-2.151414	-1.2714572	-0.08047819
chr7	144195698	0.0	4.5133076	-4.5133076	accessible_not_acetylated	-1.0745234	0.12867975	0.04808712	0.4058032	0.0033807755
chr7	144355395	0.0	4.4427176	-4.4427176	accessible_not_acetylated	-1.1609209	0.012790203	0.14261866	0.31672478	0.0071959496
chr22	23966837	0.0	4.4065213	-4.4065213	accessible_not_acetylated	0.25719547	-0.22892761	-0.02003336	-0.32222414	-0.025405407
chr22	21468317	0.6931472	5.048038	-4.354891	accessible_not_acetylated	-2.8546877	-1.5070186	-2.0116518	-1.3005152	0.007426262
chr8	29334985	0.0	4.157047	-4.157047	accessible_not_acetylated	-1.7293117	0.56962633	0.20181465	0.49833202	-0.03599882
chr20	52974332	0.0	4.0766783	-4.0766783	accessible_not_acetylated	-1.0364563	-0.33438396	0.0020551682	-0.72216105	-0.026173592
chr6	170291557	0.0	3.9977918	-3.9977918	accessible_not_acetylated	-0.42416048	-0.8357456	-1.2318811	-1.6854491	-0.054361343
chr7	2519596	0.0	3.990591	-3.990591	accessible_not_acetylated	-0.699738	-1.7822804	-0.73703957	-1.3838804	-0.012343168
chr22	28883548	0.0	3.9845805	-3.9845805	accessible_not_acetylated	-0.63110256	-0.8181219	-0.9150593	-0.91314864	-0.008784533
chr10	102231077	0.0	3.984041	-3.984041	accessible_not_acetylated	-0.74187016	-2.328389	-0.7773802	-1.7921743	0.015185356
chr7	74964817	0.0	3.9242902	-3.9242902	accessible_not_acetylated	-1.3532269	-1.0399828	-0.7221587	-0.24503279	-0.012341499
chr7	74773961	0.0	3.8938885	-3.8938885	accessible_not_acetylated	-0.65584636	1.0746927	0.49580145	0.90593815	-0.014928818
chr10	28302966	0.0	3.861654	-3.861654	accessible_not_acetylated	-1.3172245	-1.1455989	-1.5006456	-1.1517122	-0.03226328
chr10	75402101	1.3862944	5.2045774	-3.818283	accessible_not_acetylated	-2.340704	-0.53864574	-1.0423737	-0.34473372	-0.0041923523
chr7	82434649	0.6931472	4.4749265	-3.7817793	accessible_not_acetylated	-2.2355862	-0.28855276	0.30806208	-0.39180422	-0.005329132
chr12	70366066	1.0986123	4.8656626	-3.7670503	accessible_not_acetylated	-3.4283333	-1.359788	-1.7196391	-1.4493809	-0.059250355
chr7	82384158	1.0986123	4.849047	-3.7504349	accessible_not_acetylated	-2.4233334	-0.18768549	0.18125582	-0.14242601	-0.015552044
chr7	5524435	1.3862944	5.128842	-3.7425475	accessible_not_acetylated	-2.7072575	0.14561367	0.0703907	0.24281359	0.0007519722
chr10	77637819	0.0	3.7231262	-3.7231262	accessible_not_acetylated	-3.3756104	-2.07971	-1.9105446	-1.619076	0.008086681
chr8	88327432	0.0	3.7084208	-3.7084208	accessible_not_acetylated	-1.0308225	-1.2967882	-0.7782495	-1.4799113	-0.024245024
chr10	43221309	0.0	3.6978123	-3.6978123	accessible_not_acetylated	-1.2536292	-0.6400051	-0.37726092	0.1283884	0.0076773167
chr8	29334240	0.6931472	4.374553	-3.681406	accessible_not_acetylated	-2.4068017	0.42919207	0.18857622	0.6056509	-0.03749895
chr10	119029562	0.0	3.6502156	-3.6502156	accessible_not_acetylated	-1.465708	-1.4991496	-0.6015315	-1.4022632	0.0008854866
