pair	K562_ATAC_only.ABC.Score	pred_gm12878_multimodal.ABC.Score	pred_k562_multimodal.ABC.Score	chrom	chromStart	chromEnd	measuredGeneSymbol	Regulated	EffectSize	startTSS	pred_elements	y	dist	absdist	pct_pred_k562_multimodal.ABC.Score	pct_pred_gm12878_multimodal.ABC.Score	pct_K562_ATAC_only.ABC.Score	dpct	ekey
ABCB10|chr1:229889432-229889932:.|ABCB10	0.002403	0.002797	0.002823	chr1	229753685	229754185	ABCB10	False	0.0159293357298596	229558445	chr1:229753257-229754826	0	195490.0	195490.0	0.7636820730999807	0.7763488686907755	0.7671630245600464	0.012666795590794755	chr1:229753257-229754826|ABCB10
ABCD1|chrX:153250930-153251430:.|ABCD1	0.0012050000000000001	0.002783	0.001823	chrX	153985479	153985979	ABCD1	True	-0.0294911971315889	153724617	chrX:153985392-153986515	1	261112.0	261112.0	0.6916457164958422	0.7754786308257591	0.6349835621736608	0.08383291432991691	chrX:153985392-153986515|ABCD1
ABCF1|chr6:29933599-29934219:.|ABCF1	0.001334	0.001737	0.00185	chr6	29965822	29966442	ABCF1	False	-0.016247761742062	30571142	chr6:29964493-29966385	0	-605010.0	605010.0	0.6938696577064397	0.6975923419067879	0.6557725778379424	0.0037226842003481586	chr6:29964493-29966385|ABCF1
ABCF1|chr6:30065609-30066109:.|ABCF1	0.000109	0.000102	8.7e-05	chr6	30097832	30098332	ABCF1	False	-0.0863458180051365	30571142	chr6:30097839-30098339	0	-473060.0	473060.0	0.2099207116611874	0.23602784761168052	0.17859214852059563	0.026107135950493132	chr6:30097839-30098339|ABCF1
ABCF1|chr6:30464321-30464821:.|ABCF1	0.0052450000000000005	0.005109000000000001	0.008534	chr6	30496544	30497044	ABCF1	False	-0.00840923780521085	30571142	chr6:30495914-30496987	0	-74348.0	74348.0	0.8940243666602204	0.8504157803132857	0.8720266872945271	-0.04360858634693476	chr6:30495914-30496987|ABCF1
ABCF1|chr6:30476693-30477421:.|ABCF1	0.00285	0.002064	0.0027660000000000002	chr6	30508916	30509644	ABCF1	False	-0.0372407418264585	30571142	chr6:30507575-30509808	0	-61862.0	61862.0	0.7597660027074067	0.7289692515954361	0.7931734674144266	-0.030796751111970555	chr6:30507575-30509808|ABCF1
ABCF1|chr6:30805515-30806015:.|ABCF1	0.0	0.0	0.0	chr6	30837738	30838238	ABCF1	False	-0.0715832003119506	30571142		0	266846.0	266846.0	0.07488880293947012	0.07653258557339006	0.06488106749178109	0.0016437826339199407	nan|ABCF1
ABCF1|chr6:31535353-31535853:.|ABCF1	6.4e-05	3.9e-05	3.9e-05	chr6	31567576	31568076	ABCF1	False	-0.00600084221846752	30571142	chr6:31567338-31568054	0	996684.0	996684.0	0.1693579578418101	0.17549796944498164	0.14900406111003675	0.006140011603171541	chr6:31567338-31568054|ABCF1
ABCF2|chr7:151622628-151623303:.|ABCF2	0.0002	0.000294	0.000342	chr7	151925543	151926218	ABCF2	False	0.0246279423820264	151227124	chr7:151925459-151926781	0	698756.5	698756.5	0.37773157996519047	0.37226842003480953	0.25241732740282347	-0.005463159930380934	chr7:151925459-151926781|ABCF2
ABHD11|chr7:73684232-73684732:.|ABHD11	0.000312	0.00036899999999999997	0.000371	chr7	74269902	74270402	ABHD11	False	-0.0043003180408123206	73738617	chr7:74269452-74270635	0	531535.0	531535.0	0.3902049893637594	0.4097853413266293	0.3295300715528911	0.01958035196286989	chr7:74269452-74270635|ABHD11
ABHD11|chr7:73686037-73686537:.|ABHD11	0.000162	0.000571	0.00033999999999999997	chr7	74271707	74272207	ABHD11	False	0.00659067290294101	73738617	chr7:74271563-74272266	0	533340.0	533340.0	0.37666795590794816	0.4905240765809321	0.22157222974279636	0.11385612067298395	chr7:74271563-74272266|ABHD11
ABHD17A|chr19:2059458-2060333:.|ABHD17A	0.007268000000000001	0.010791	0.011791	chr19	2059459	2060334	ABHD17A	False	-0.006018642534565521	1885269	chr19:2059227-2060300	0	174627.5	174627.5	0.9174240959195513	0.9166505511506479	0.9000193386192226	-0.0007735447689034558	chr19:2059227-2060300|ABHD17A
ABHD17A|chr19:2060901-2061899:.|ABHD17A	0.009634	0.009075	0.009428	chr19	2060902	2061900	ABHD17A	False	-0.00638354121711459	1885269	chr19:2060491-2062544	0	176132.0	176132.0	0.9017598143492555	0.9019532005414813	0.9173274028234384	0.00019338619222586395	chr19:2060491-2062544|ABHD17A
ABHD17A|chr19:982611-983111:.|ABHD17A	0.00028900000000000003	9.9e-05	0.00014199999999999998	chr19	982611	983111	ABHD17A	False	-0.00708391392467744	1885269	chr19:982643-983143	0	-902408.0	902408.0	0.2566718236317927	0.23336878746857476	0.3148327209437246	-0.02330303616321794	chr19:982643-983143|ABHD17A
ABRACL|chr6:139837320-139838119:.|ABRACL	0.001434	0.001368	0.0018100000000000002	chr6	139516183	139516982	ABRACL	False	0.0338932637752145	139028431	chr6:139516317-139516817	0	488151.5	488151.5	0.6911622510152775	0.6576580932121446	0.6709050473796171	-0.03350415780313287	chr6:139516317-139516817|ABRACL
ABT1|chr6:26066114-26066614:.|ABT1	0.000392	0.00020099999999999998	0.000254	chr6	26065886	26066386	ABT1	False	0.00048244222546611797	26596692	chr6:26065569-26066370	0	-530556.0	530556.0	0.33131889383098045	0.31526783987623286	0.3757010249468188	-0.016051053954747596	chr6:26065569-26066370|ABT1
ABT1|chr6:26312585-26314270:.|ABT1	0.0038	0.005092	0.005474000000000001	chr6	26312357	26314042	ABT1	False	-0.0210282111069164	26596692	chr6:26311596-26313682	0	-283492.5	283492.5	0.8538967317733513	0.8501740475730033	0.8331560626571263	-0.0037226842003480476	chr6:26311596-26313682|ABT1
ABT1|chr6:26327422-26328649:.|ABT1	0.0037549999999999997	0.004111	0.002634	chr6	26327194	26328421	ABT1	False	-0.0368483352732649	26596692	chr6:26327395-26329963	0	-268884.5	268884.5	0.7538677238445175	0.8267259717656159	0.8314639334751499	0.0728582479210984	chr6:26327395-26329963|ABT1
ABT1|chr6:26556327-26557202:.|ABT1	0.02263	0.019244999999999998	0.019417	chr6	26556099	26556974	ABT1	False	0.00964032420537353	26596692	chr6:26554571-26557002	0	-40155.5	40155.5	0.9452717076000774	0.9494295107329337	0.9591955134403404	0.004157803132856297	chr6:26554571-26557002|ABT1
ABT1|chr6:26568820-26569799:.|ABT1	0.06264199999999999	0.048816000000000005	0.031863999999999996	chr6	26568592	26569571	ABT1	False	-0.0148985267388364	26596692	chr6:26568615-26572309	0	-27610.5	27610.5	0.9632566234770837	0.9759234190678786	0.9863662734480758	0.012666795590794866	chr6:26568615-26572309|ABT1
ABT1|chr6:26575612-26576550:.|ABT1	0.036502	0.034861	0.03269	chr6	26575384	26576322	ABT1	False	-0.0396708563276006	26596692	chr6:26575361-26577869	0	-20839.0	20839.0	0.9640301682459872	0.9670276542254883	0.9730226261844904	0.0029974859795011133	chr6:26575361-26577869|ABT1
