chr	center	observed_log	atac_pred_log	true_residual	class	multimodal_residual	sequence_residual
chr7	143620965	0.0	11.049181	-11.049181	accessible_not_acetylated	0.036114693	-1.8078175
chr22	23966837	0.0	10.742339	-10.742339	accessible_not_acetylated	-0.52310467	-1.0485754
chr7	75237802	0.0	10.463096	-10.463096	accessible_not_acetylated	-0.54548836	-2.6231337
chr22	18906222	0.0	9.715291	-9.715291	accessible_not_acetylated	-0.08084488	0.34580135
chr7	150110544	0.0	9.630126	-9.630126	accessible_not_acetylated	-1.8227377	-0.95007515
chr22	21467169	0.0	9.546865	-9.546865	accessible_not_acetylated	-0.25099182	-1.6754618
chr21	34375464	0.0	9.486962	-9.486962	accessible_not_acetylated	-0.30120373	0.5597677
chr17	8885963	0.0	9.42645	-9.42645	accessible_not_acetylated	-2.5942607	-0.24983692
chr17	46590668	0.0	9.337643	-9.337643	accessible_not_acetylated	0.12696743	0.1557827
chr12	125186310	0.0	9.001649	-9.001649	accessible_not_acetylated	-3.0393414	-2.3358736
chr18	26197296	0.0	8.942563	-8.942563	accessible_not_acetylated	-0.60762596	-1.3985009
chr7	102517778	0.0	8.941847	-8.941847	accessible_not_acetylated	-0.32502937	-0.18808174
chr7	76514994	0.0	8.688573	-8.688573	accessible_not_acetylated	-1.2136025	-0.9900451
chr6	127516296	0.0	8.667823	-8.667823	accessible_not_acetylated	-1.7112145	0.340477
chr18	61894444	0.0	8.666283	-8.666283	accessible_not_acetylated	-2.4419856	-0.901566
chr10	46598002	0.0	8.560528	-8.560528	accessible_not_acetylated	-0.907197	-0.48483276
chr12	64780641	0.0	8.537194	-8.537194	accessible_not_acetylated	-1.7429276	-1.357707
chr21	43044710	0.0	8.498818	-8.498818	accessible_not_acetylated	-0.6621275	-0.39401245
chr7	3301262	0.0	8.486495	-8.486495	accessible_not_acetylated	-2.2025342	0.008232117
chr10	117241870	0.0	8.463645	-8.463645	accessible_not_acetylated	-1.9545693	-1.1696172
chr7	144195698	0.0	8.4120455	-8.4120455	accessible_not_acetylated	-0.98031473	0.5950794
chr7	76438061	0.0	8.41136	-8.41136	accessible_not_acetylated	-0.4893403	-0.50264406
chr22	15775829	0.0	8.359839	-8.359839	accessible_not_acetylated	-2.14461	-1.2061534
chr7	102642791	0.0	8.359047	-8.359047	accessible_not_acetylated	-0.8555956	-0.5432563
chr21	44241004	0.0	8.321781	-8.321781	accessible_not_acetylated	-3.1109586	0.55622864
chr20	63179238	0.0	8.304767	-8.304767	accessible_not_acetylated	-3.0855575	-0.13313961
chr8	80578510	0.0	8.303626	-8.303626	accessible_not_acetylated	-2.9319892	-0.20524788
chr7	74773961	0.0	8.290692	-8.290692	accessible_not_acetylated	-0.07544708	0.2307148
chr17	18563558	0.0	8.264882	-8.264882	accessible_not_acetylated	-0.64915514	0.1234436
chr18	12227575	0.0	8.22896	-8.22896	accessible_not_acetylated	0.34639072	-0.58042765
chr12	106247750	0.0	8.149404	-8.149404	accessible_not_acetylated	-2.7509947	-1.7184334
chr6	88166035	0.0	8.135405	-8.135405	accessible_not_acetylated	-2.2044244	1.0523834
chr6	31982056	0.0	8.13279	-8.13279	accessible_not_acetylated	0.10395336	0.10742569
chr20	62813762	0.0	8.104179	-8.104179	accessible_not_acetylated	-1.6467223	-0.9569793
chr17	19108711	0.0	8.099712	-8.099712	accessible_not_acetylated	0.16956139	0.060326576
chr7	56175229	0.0	8.067502	-8.067502	accessible_not_acetylated	-2.669466	0.83906937
chr22	32207053	0.0	8.066892	-8.066892	accessible_not_acetylated	-1.0981512	-0.05432415
chr6	170423290	0.0	8.06311	-8.06311	accessible_not_acetylated	-0.68187046	0.84508324
chr6	150072371	0.0	8.04721	-8.04721	accessible_not_acetylated	1.0927935	0.47464466
chr17	46979264	0.0	8.026048	-8.026048	accessible_not_acetylated	-2.3381596	0.51924515
chr18	46964526	0.0	7.997217	-7.997217	accessible_not_acetylated	-1.5752134	0.07282734
chr22	50600486	0.0	7.9944253	-7.9944253	accessible_not_acetylated	-2.852765	0.6549783
chr20	62220145	0.0	7.992786	-7.992786	accessible_not_acetylated	-1.7701826	-0.48720312
chr7	65562731	0.0	7.940867	-7.940867	accessible_not_acetylated	-0.08805847	-0.7865448
chr18	59265678	0.0	7.918523	-7.918523	accessible_not_acetylated	-0.8072758	0.66244316
chr22	43245287	0.0	7.913491	-7.913491	accessible_not_acetylated	-1.3984518	-0.1404624
chr20	2692891	0.0	7.907927	-7.907927	accessible_not_acetylated	-2.5828123	-1.6980505
chr21	43427132	0.0	7.893098	-7.893098	accessible_not_acetylated	-1.1041665	0.7608967
chr6	32014794	0.0	7.8863626	-7.8863626	accessible_not_acetylated	0.22493887	0.35385275
chr12	132173287	0.0	7.8703094	-7.8703094	accessible_not_acetylated	-1.2880721	0.05212736
chr12	3300070	0.0	7.869457	-7.869457	accessible_not_acetylated	-0.017678738	1.1269336
chr17	61463832	0.0	7.8684034	-7.8684034	accessible_not_acetylated	-1.0172796	0.21902084
chr10	86366697	0.0	7.8654413	-7.8654413	accessible_not_acetylated	-3.4861617	-1.4068394
chr20	57118392	0.0	7.863936	-7.863936	accessible_not_acetylated	-1.4881864	-1.4017034
chr22	47193291	0.0	7.853776	-7.853776	accessible_not_acetylated	-1.4548693	0.8539009
chr6	156762876	0.0	7.8528237	-7.8528237	accessible_not_acetylated	-0.20446825	0.060867786
chr10	58319805	0.0	7.848316	-7.848316	accessible_not_acetylated	0.03738737	-0.6003065
chr8	37479466	0.0	7.8450675	-7.8450675	accessible_not_acetylated	-0.6366868	0.2273612
chr12	51848085	0.0	7.8447723	-7.8447723	accessible_not_acetylated	-2.508834	-0.5590253
chr7	28179871	0.0	7.842835	-7.842835	accessible_not_acetylated	-2.282277	-0.51981735
chr7	954689	0.0	7.8077545	-7.8077545	accessible_not_acetylated	-2.9171662	-0.9043603
chr17	50912023	0.0	7.7873106	-7.7873106	accessible_not_acetylated	-0.048118114	0.0835228
chr17	49058621	0.0	7.7790833	-7.7790833	accessible_not_acetylated	-0.41801882	0.096408844
chr22	50276394	0.0	7.770418	-7.770418	accessible_not_acetylated	-2.0940342	-0.07325554
chr7	5443852	0.0	7.7553134	-7.7553134	accessible_not_acetylated	-0.34614086	0.57990503
chr12	38138887	0.0	7.742585	-7.742585	accessible_not_acetylated	-0.8031039	1.7893915
chr20	62218546	0.0	7.7412224	-7.7412224	accessible_not_acetylated	-1.2559547	0.2775879
chr6	138001952	0.0	7.7324104	-7.7324104	accessible_not_acetylated	-0.7798557	-0.79612875
chr8	138914562	0.0	7.7288914	-7.7288914	accessible_not_acetylated	-1.4028621	0.42202282
chr21	8213359	0.0	7.7201414	-7.7201414	accessible_not_acetylated	-2.8294992	3.172882
chr7	144259628	0.0	7.7085476	-7.7085476	accessible_not_acetylated	-0.30924654	-0.56333065
chr12	6556083	0.0	7.707766	-7.707766	accessible_not_acetylated	-2.384965	0.29326582
chr10	132464012	0.0	7.7059593	-7.7059593	accessible_not_acetylated	-0.8780303	-0.18605375
chr10	75400037	0.0	7.696252	-7.696252	accessible_not_acetylated	-0.88059044	0.13255692
chr7	150001186	0.0	7.690706	-7.690706	accessible_not_acetylated	0.1579299	0.8242755
chr21	43169007	0.0	7.6826677	-7.6826677	accessible_not_acetylated	-0.648314	0.47925186
chr8	22234274	0.0	7.6761074	-7.6761074	accessible_not_acetylated	-0.9210315	-0.25651407
chr20	61874885	0.0	7.6756673	-7.6756673	accessible_not_acetylated	-1.2267032	-0.5302968
chr21	5123911	0.0	7.666912	-7.666912	accessible_not_acetylated	-0.44709873	0.638916
chr10	132186860	0.0	7.65606	-7.65606	accessible_not_acetylated	-2.3215332	0.5099039
chr6	68728351	0.0	7.6558275	-7.6558275	accessible_not_acetylated	0.0586586	-1.0079923
chr10	128212118	0.0	7.6523542	-7.6523542	accessible_not_acetylated	-0.67946196	0.23425388
chr22	37394677	0.0	7.6226344	-7.6226344	accessible_not_acetylated	-1.5097194	0.48228598
chr7	102551231	0.0	7.620122	-7.620122	accessible_not_acetylated	-0.05992508	0.65452194
chr7	152823547	0.0	7.6165757	-7.6165757	accessible_not_acetylated	0.26767635	0.40255213
chr7	72969466	0.0	7.591971	-7.591971	accessible_not_acetylated	-0.5187664	0.65464735
chr20	63071864	0.0	7.591446	-7.591446	accessible_not_acetylated	-1.1213598	1.246624
chr21	46699290	0.0	7.585247	-7.585247	accessible_not_acetylated	-1.7795606	5.604659
chr8	41896206	0.0	7.584651	-7.584651	accessible_not_acetylated	-0.57032776	1.4687271
chr17	32413521	0.0	7.580213	-7.580213	accessible_not_acetylated	-0.5129757	-0.26261282
chr21	31873314	0.0	7.578347	-7.578347	accessible_not_acetylated	-2.8743238	0.4148016
chr20	3732669	0.0	7.5742545	-7.5742545	accessible_not_acetylated	-2.0687575	0.6795764
chr10	133201584	0.0	7.5699854	-7.5699854	accessible_not_acetylated	-1.5343661	0.10837746
chr10	46465881	0.0	7.5680113	-7.5680113	accessible_not_acetylated	-1.6346292	-1.5545917
chr10	46579015	0.0	7.5635023	-7.5635023	accessible_not_acetylated	-2.8481898	-0.067308426
chr17	39151649	0.0	7.5625916	-7.5625916	accessible_not_acetylated	-2.5568528	-0.48730373
chr8	125415124	0.0	7.5592365	-7.5592365	accessible_not_acetylated	-0.6419072	0.47181702
chr22	42129542	0.0	7.55773	-7.55773	accessible_not_acetylated	-1.529882	1.1691861
chr7	73361513	0.0	7.5558267	-7.5558267	accessible_not_acetylated	-0.8930774	-0.40195322
chr20	63380136	0.0	7.551697	-7.551697	accessible_not_acetylated	-0.25371027	0.31981897
chr6	4743266	0.0	7.5506196	-7.5506196	accessible_not_acetylated	0.06138134	0.86070776
chr8	141531001	0.0	7.547328	-7.547328	accessible_not_acetylated	-0.82550335	0.4776783
chr10	46375589	0.0	7.544402	-7.544402	accessible_not_acetylated	-0.7111311	-0.08904886
chr8	46668375	0.0	7.5312824	-7.5312824	accessible_not_acetylated	-1.2328286	-1.0667877
