chr	center	observed_log	atac_pred_log	true_residual	class	sequence5p_residual	multimodal5p_residual	residual_sequence_residual	residual_multimodal_residual	residual_atac_residual
chr7	143620965	0.0	5.3725977	-5.3725977	accessible_not_acetylated	-1.9914958	-0.039845943	-0.9815903	-0.38904858	-0.04488182
chr22	23966837	0.0	4.886704	-4.886704	accessible_not_acetylated	0.076226234	-0.18123484	-0.15021276	0.09494114	0.018036842
chr17	50560867	0.0	4.726952	-4.726952	accessible_not_acetylated	-2.2821863	-1.7703748	-1.32792	-1.4175172	-0.10217285
chr7	74788767	0.6931472	5.158295	-4.465148	accessible_not_acetylated	-1.510004	-1.2694006	-1.338618	-1.1234574	-0.040542603
chr8	142614536	0.0	4.3354874	-4.3354874	accessible_not_acetylated	-2.0866852	-1.8098922	-1.2710829	-1.2991524	-0.041579247
chr7	143836704	1.0986123	5.430093	-4.3314805	accessible_not_acetylated	-1.3565469	0.31764984	-0.7865038	-0.0013728142	-0.045979023
chr7	75237802	0.0	4.3285637	-4.3285637	accessible_not_acetylated	0.38339376	0.13209534	-0.433671	0.21396875	0.03483677
chr21	8989412	1.3862944	5.6449833	-4.258689	accessible_not_acetylated	-2.511323	0.41913795	0.15706825	0.17905998	-0.15885782
chr12	82686982	0.6931472	4.891004	-4.197857	accessible_not_acetylated	-1.9254158	-1.375454	-1.1265411	-1.2904634	-0.121368885
chr22	21467169	0.0	4.150971	-4.150971	accessible_not_acetylated	-2.0454738	-0.26093912	-0.5248904	-0.2956469	0.041641235
chr12	109714334	0.6931472	4.807578	-4.114431	accessible_not_acetylated	-3.1144276	-1.8892779	-1.3936462	-1.2044492	-0.11548185
chr7	73123888	0.6931472	4.786393	-4.093246	accessible_not_acetylated	-2.6591995	-0.41154957	-0.2951212	-0.120294094	0.04111147
chr7	73235371	1.0986123	5.1435294	-4.044917	accessible_not_acetylated	-1.7939453	-1.327003	-1.3557229	-1.1775475	-0.036038876
chr7	44036574	0.0	3.9598854	-3.9598854	accessible_not_acetylated	-1.2942741	-0.108347654	-0.45499325	-1.118362	-0.019825459
chr17	46590668	0.0	3.8982248	-3.8982248	accessible_not_acetylated	-1.022377	-0.4761486	-0.22667909	-0.08520317	-0.081982374
chr22	18906222	0.0	3.8889036	-3.8889036	accessible_not_acetylated	0.43962717	-0.08373213	-0.5163686	-0.038427353	0.028635025
chr7	150110544	0.0	3.858273	-3.858273	accessible_not_acetylated	-1.2126513	-1.5786228	-1.1207302	-1.4655488	-0.00897789
chr17	8885963	0.0	3.8541427	-3.8541427	accessible_not_acetylated	-1.8370736	-1.9371411	-2.7848294	-0.9940157	-0.05922985
chr21	34375464	0.0	3.8501294	-3.8501294	accessible_not_acetylated	0.7660377	-0.124988556	0.3146932	-0.14650011	-0.017545462
chr21	8992210	2.0794415	5.890624	-3.8111825	accessible_not_acetylated	-2.7696323	0.75753975	0.21563387	1.0172896	-0.13376951
chr21	8420160	1.609438	5.358822	-3.749384	accessible_not_acetylated	-2.8253448	0.4509964	0.56231594	0.7586708	-0.10110617
chr12	46358319	1.609438	5.3547077	-3.7452698	accessible_not_acetylated	-3.3722544	-0.5066776	-0.0050668716	-1.128355	-0.1303916
chr8	28623020	1.609438	5.3356647	-3.7262268	accessible_not_acetylated	-1.3085117	-1.4258866	-0.8281903	-1.1404881	-0.07578707
chr22	18528689	1.0986123	4.785404	-3.686792	accessible_not_acetylated	-2.5669384	0.124516964	-1.5244164	-0.2983942	-0.088205814
