chr	center	observed_log	atac_pred_log	true_residual	class	sequence5p_residual	multimodal5p_residual	residual5p_residual
chr7	143620965	0.0	5.372001	-5.372001	accessible_not_acetylated	-1.990777	-0.039882183	-0.9814129
chr22	23966837	0.0	4.886141	-4.886141	accessible_not_acetylated	0.07644987	-0.18128967	-0.15022564
chr17	50560867	0.0	4.726606	-4.726606	accessible_not_acetylated	-2.2820408	-1.7705526	-1.3281054
chr7	74788767	0.6931472	5.157537	-4.46439	accessible_not_acetylated	-1.509582	-1.2693124	-1.3387928
chr8	142614536	0.0	4.3357954	-4.3357954	accessible_not_acetylated	-2.0867894	-1.8101122	-1.271085
chr7	143836704	1.0986123	5.4295645	-4.330952	accessible_not_acetylated	-1.3565655	0.31766987	-0.7864628
chr7	75237802	0.0	4.327964	-4.327964	accessible_not_acetylated	0.38278103	0.13237095	-0.43370724
chr21	8989412	1.3862944	5.6453266	-4.2590322	accessible_not_acetylated	-2.5116203	0.4188261	0.15723705
chr12	82686982	0.6931472	4.890962	-4.197815	accessible_not_acetylated	-1.9255421	-1.3758478	-1.1266799
chr22	21467169	0.0	4.1505194	-4.1505194	accessible_not_acetylated	-2.0450885	-0.26046133	-0.52501035
chr12	109714334	0.6931472	4.8075433	-4.114396	accessible_not_acetylated	-3.1141205	-1.889811	-1.3936996
chr7	73123888	0.6931472	4.78607	-4.0929227	accessible_not_acetylated	-2.659101	-0.41188812	-0.295187
chr7	73235371	1.0986123	5.142604	-4.0439916	accessible_not_acetylated	-1.7931371	-1.326519	-1.3559422
chr7	44036574	0.0	3.9589758	-3.9589758	accessible_not_acetylated	-1.2934945	-0.10807085	-0.45510387
chr17	46590668	0.0	3.898624	-3.898624	accessible_not_acetylated	-1.0233939	-0.47686434	-0.22655845
chr22	18906222	0.0	3.8884692	-3.8884692	accessible_not_acetylated	0.43888712	-0.0837841	-0.5162642
chr7	150110544	0.0	3.8574278	-3.8574278	accessible_not_acetylated	-1.2119324	-1.5779295	-1.1205459
chr17	8885963	0.0	3.8542051	-3.8542051	accessible_not_acetylated	-1.8374577	-1.9373008	-2.7848554
chr21	34375464	0.0	3.8501055	-3.8501055	accessible_not_acetylated	0.7665522	-0.12442136	0.31475234
chr21	8992210	2.0794415	5.8907337	-3.8112922	accessible_not_acetylated	-2.7689145	0.7572789	0.21576786
chr21	8420160	1.609438	5.359061	-3.7496228	accessible_not_acetylated	-2.8260782	0.45140553	0.562593
chr12	46358319	1.609438	5.3545694	-3.7451315	accessible_not_acetylated	-3.3721027	-0.50643826	-0.0050578117
chr8	28623020	1.609438	5.3359	-3.726462	accessible_not_acetylated	-1.3087082	-1.4256742	-0.82803154
chr22	18528689	1.0986123	4.7844663	-3.685854	accessible_not_acetylated	-2.5663745	0.12467766	-1.5244529
chr21	8990385	2.1972246	5.8586173	-3.6613927	accessible_not_acetylated	-2.6913974	0.1817708	0.36630106
chr7	102517778	0.0	3.6413314	-3.6413314	accessible_not_acetylated	-0.97799945	-1.1938455	-0.5960636
chr21	8996199	2.0794415	5.701542	-3.6221004	accessible_not_acetylated	-2.9572663	-0.22362947	0.15538883
chr21	43076392	0.6931472	4.3121214	-3.6189742	accessible_not_acetylated	-1.1844158	-0.71310306	-1.0207968
chr7	102592752	1.0986123	4.709709	-3.6110969	accessible_not_acetylated	-2.3094487	-0.13079834	-0.6157656
