chr	center	observed_log	atac_pred_log	true_residual	class	GMseq_to_K562_residual	GMmm_to_K562_residual	GMresSeq_to_K562_residual	GMresMM_to_K562_residual
chr7	143620965	0.0	4.691062	-4.691062	accessible_not_acetylated	-1.88711	0.17045116	-0.87931156	0.04541111
chr17	50560867	0.0	4.1303473	-4.1303473	accessible_not_acetylated	-1.1623507	-1.53373	-1.198906	-1.5268779
chr22	21467169	0.0	4.02717	-4.02717	accessible_not_acetylated	-1.9230471	-0.6176691	-0.9253464	-0.85637426
chr21	8989412	1.3862944	5.3641877	-3.9778934	accessible_not_acetylated	-3.0421295	0.30467653	-0.15968657	-0.08040428
chr7	75237802	0.0	3.9493833	-3.9493833	accessible_not_acetylated	0.0232203	0.04366541	-0.8431289	-0.38137007
chr22	23966837	0.0	3.9246492	-3.9246492	accessible_not_acetylated	0.73906755	-0.4092145	-0.02003336	-0.88386774
chr7	74788767	0.6931472	4.562293	-3.8691459	accessible_not_acetylated	-0.98274493	-0.93375564	-1.3278093	-0.50952387
chr22	18528689	1.0986123	4.9431005	-3.8444881	accessible_not_acetylated	-2.7449348	-0.5639601	-2.0427868	-0.17473555
chr22	21424533	0.6931472	4.4511285	-3.7579813	accessible_not_acetylated	-2.2366285	0.92332697	-0.22750425	0.37473345
chr12	109714334	0.6931472	4.427747	-3.7345996	accessible_not_acetylated	-2.4756434	-1.3350167	-1.639261	-1.2048693
chr7	102517778	0.0	3.7141447	-3.7141447	accessible_not_acetylated	-1.8170855	-1.5478427	-0.53399897	-1.1914787
chr7	44036574	0.0	3.668252	-3.668252	accessible_not_acetylated	-0.993088	-0.30037427	-0.46728587	-0.45551205
chr22	18906222	0.0	3.606536	-3.606536	accessible_not_acetylated	0.0120790005	-0.6569762	-1.4765124	-1.2735419
chr7	73123888	0.6931472	4.250231	-3.5570836	accessible_not_acetylated	-2.6456573	-0.44869947	0.14344501	0.10218239
chr12	82686982	0.6931472	4.2455873	-3.5524402	accessible_not_acetylated	-0.7891524	-1.617578	-0.83474874	-1.3803549
chr22	18529207	1.9459102	5.4886384	-3.5427282	accessible_not_acetylated	-2.8997498	-1.3637362	-1.896389	-0.44157124
chr21	8992210	2.0794415	5.6194377	-3.5399961	accessible_not_acetylated	-2.8128717	0.8509264	0.16531706	0.2592721
chr7	143836704	1.0986123	4.6111765	-3.5125642	accessible_not_acetylated	-1.5443175	0.4369068	-1.0308104	0.10431337
chr21	6467633	0.6931472	4.1619797	-3.4688325	accessible_not_acetylated	-1.3196232	-1.0771155	-1.1731572	-1.3221896
chr7	73235371	1.0986123	4.5337634	-3.435151	accessible_not_acetylated	-1.1468415	-1.0957766	-1.4772525	-0.57693696
chr8	142614536	0.0	3.41942	-3.41942	accessible_not_acetylated	-1.2927864	-1.9456353	-1.4379048	-1.7864349
chr21	8420160	1.609438	5.0035763	-3.3941383	accessible_not_acetylated	-3.7023911	0.06814623	-0.6374965	0.07752466
chr21	34375464	0.0	3.392683	-3.392683	accessible_not_acetylated	1.2396402	0.083759785	0.12528658	-0.65109444
chr7	150110544	0.0	3.3624701	-3.3624701	accessible_not_acetylated	-1.9141209	-1.3906636	-1.3950456	-1.9713383
chr21	45643374	1.0986123	4.460419	-3.3618069	accessible_not_acetylated	-0.255538	-2.56669	-1.2607522	-1.6087136
chr22	21514503	1.0986123	4.4579616	-3.3593493	accessible_not_acetylated	-1.0862293	0.49438667	-0.19738722	-0.10344696
chr12	125186310	0.0	3.3440502	-3.3440502	accessible_not_acetylated	-2.5719645	-2.318882	-1.5064807	-1.4392418
chr17	46590668	0.0	3.341696	-3.341696	accessible_not_acetylated	-1.2403226	-1.1269853	-0.5177977	-0.83017755
chr12	46358319	1.609438	4.884269	-3.2748313	accessible_not_acetylated	-3.2301033	-0.4391184	0.09467125	-0.25337029
chr21	8994141	2.7080503	5.9717207	-3.2636704	accessible_not_acetylated	-4.2033396	-0.33187103	-0.10456371	-0.3313651
chr7	76514994	0.0	3.257831	-3.257831	accessible_not_acetylated	-1.3354938	-0.9599111	-0.6768527	0.019576311
