chr	center	observed_log	atac_pred_log	true_residual	class	multimodal_residual
chr22	18906222	0.0	5.60223	-5.60223	accessible_not_acetylated	-0.9548354
chr21	43427132	0.0	5.3438673	-5.3438673	accessible_not_acetylated	-1.0397925
chr22	23966837	0.0	5.258157	-5.258157	accessible_not_acetylated	-0.5618272
chr21	6467633	0.0	5.2199817	-5.2199817	accessible_not_acetylated	-0.5963793
chr17	46590668	0.0	5.2039037	-5.2039037	accessible_not_acetylated	-0.98284864
chr21	34375464	0.0	5.1753263	-5.1753263	accessible_not_acetylated	-0.43435097
chr7	144195698	0.0	4.9416647	-4.9416647	accessible_not_acetylated	-1.3027432
chr21	44241004	0.0	4.919916	-4.919916	accessible_not_acetylated	-1.1571233
chr20	63135012	0.0	4.88354	-4.88354	accessible_not_acetylated	-1.2139711
chr18	46964526	0.0	4.869506	-4.869506	accessible_not_acetylated	-1.2131553
chr22	21467169	0.0	4.8568153	-4.8568153	accessible_not_acetylated	-0.4267025
chr7	102642791	0.0	4.8131905	-4.8131905	accessible_not_acetylated	-0.6587534
chr21	46699290	0.0	4.805909	-4.805909	accessible_not_acetylated	-1.601821
chr7	144355395	0.0	4.793955	-4.793955	accessible_not_acetylated	-0.918849
chr6	31982056	0.0	4.668908	-4.668908	accessible_not_acetylated	-0.419415
chr21	44107367	1.0986123	5.7519283	-4.653316	accessible_not_acetylated	-0.9305768
chr7	74773961	0.0	4.6364546	-4.6364546	accessible_not_acetylated	-0.5472436
chr6	32014794	0.0	4.630153	-4.630153	accessible_not_acetylated	-0.41788387
chr7	75237802	0.6931472	5.295848	-4.6027007	accessible_not_acetylated	-0.7657623
chr21	44133609	0.6931472	5.167782	-4.4746346	accessible_not_acetylated	-0.7755375
chr22	18936553	0.0	4.4346952	-4.4346952	accessible_not_acetylated	-1.1642003
chr21	43076392	1.0986123	5.512947	-4.414335	accessible_not_acetylated	-1.068109
chr7	102551231	0.0	4.365309	-4.365309	accessible_not_acetylated	-0.59569645
chr21	43169007	0.0	4.273285	-4.273285	accessible_not_acetylated	-0.6563828
chr7	75395628	0.0	4.264116	-4.264116	accessible_not_acetylated	-1.1517949
chr7	102592752	1.0986123	5.313614	-4.2150016	accessible_not_acetylated	-0.38363886
chr10	79703226	0.0	4.177109	-4.177109	accessible_not_acetylated	-0.3975749
chr17	19047023	0.0	4.1689916	-4.1689916	accessible_not_acetylated	-0.9022076
chr10	87379331	0.6931472	4.856569	-4.1634216	accessible_not_acetylated	0.22788858
chr10	46465881	0.0	4.1557865	-4.1557865	accessible_not_acetylated	-1.3934026
chr22	15775829	0.6931472	4.8080473	-4.1149	accessible_not_acetylated	-0.33323622
chr7	102650324	0.0	4.063402	-4.063402	accessible_not_acetylated	-0.7097964
chr10	7666998	0.6931472	4.713107	-4.01996	accessible_not_acetylated	-2.3979738
chr7	143620965	1.3862944	5.403919	-4.017625	accessible_not_acetylated	-0.28468943
chr10	87225447	0.0	4.012001	-4.012001	accessible_not_acetylated	-0.41532445
chr7	73235371	1.3862944	5.3967285	-4.010434	accessible_not_acetylated	-0.6874666
chr21	43450023	0.0	4.005989	-4.005989	accessible_not_acetylated	-0.6665375
chr7	102517778	1.0986123	5.1013927	-4.0027804	accessible_not_acetylated	-0.363595
chr20	62961519	1.0986123	5.086317	-3.9877048	accessible_not_acetylated	-1.3824916
chr22	23979828	0.0	3.964009	-3.964009	accessible_not_acetylated	-1.2584887
chr21	43479534	0.0	3.9539742	-3.9539742	accessible_not_acetylated	-0.5941193
chr21	43478223	0.0	3.8852654	-3.8852654	accessible_not_acetylated	-0.8430002
chr17	43303713	0.0	3.8485842	-3.8485842	accessible_not_acetylated	-0.4802754
chr17	19127468	0.0	3.8152595	-3.8152595	accessible_not_acetylated	-0.7439792
chr8	12089337	0.0	3.8073375	-3.8073375	accessible_not_acetylated	-0.73378015
chr10	46579015	0.6931472	4.4811816	-3.7880344	accessible_not_acetylated	-1.5074058
chr22	21424533	1.3862944	5.173442	-3.7871475	accessible_not_acetylated	0.34697104
chr21	34459644	0.0	3.7625875	-3.7625875	accessible_not_acetylated	-1.05721
chr22	21420374	1.7917595	5.506933	-3.7151737	accessible_not_acetylated	-0.89475155
chr7	76461777	1.3862944	5.0969934	-3.710699	accessible_not_acetylated	-0.4114871
chr10	133424617	0.0	3.7032638	-3.7032638	accessible_not_acetylated	-1.5840635
chr10	38356408	1.609438	5.2865605	-3.6771226	accessible_not_acetylated	0.22436285
chr8	62248941	0.6931472	4.3187675	-3.6256204	accessible_not_acetylated	-1.3226881
chr17	63873729	0.6931472	4.316539	-3.6233916	accessible_not_acetylated	-0.7331877
chr21	9325040	1.609438	5.207302	-3.5978642	accessible_not_acetylated	-1.6256316
chr7	143836704	1.609438	5.1975937	-3.5881557	accessible_not_acetylated	0.02491045
chr17	18476784	0.0	3.5642052	-3.5642052	accessible_not_acetylated	-0.89453363
chr10	46911395	1.0986123	4.656477	-3.5578647	accessible_not_acetylated	-0.98431873
chr22	18611919	1.3862944	4.8756447	-3.4893503	accessible_not_acetylated	-0.5755663
chr7	102616728	1.3862944	4.871827	-3.4855328	accessible_not_acetylated	-0.07974291
chr17	20843975	1.0986123	4.5700727	-3.4714603	accessible_not_acetylated	-0.63346267
chr17	19142630	1.3862944	4.856889	-3.4705944	accessible_not_acetylated	-0.23701239
chr22	18528689	2.3025851	5.77118	-3.468595	accessible_not_acetylated	-0.74446964
chr22	23947586	1.3862944	4.8270116	-3.4407172	accessible_not_acetylated	-1.0842209
chr8	12601482	1.609438	5.0326843	-3.4232464	accessible_not_acetylated	-1.4186604
chr17	8885963	1.609438	5.0256515	-3.4162135	accessible_not_acetylated	-0.97291183
chr6	131701401	1.0986123	4.4870605	-3.3884482	accessible_not_acetylated	-0.4858141
chr17	63896661	0.6931472	4.0793076	-3.3861604	accessible_not_acetylated	-0.5148525
chr8	17801133	1.3862944	4.7543726	-3.3680782	accessible_not_acetylated	-1.3137627
chr17	20467535	0.0	3.3507848	-3.3507848	accessible_not_acetylated	-0.9163637
chr10	116609796	1.7917595	5.1347017	-3.3429422	accessible_not_acetylated	-0.4814415
chr21	43107392	2.0794415	5.4220843	-3.3426428	accessible_not_acetylated	-0.90498114
chr7	72969466	1.0986123	4.4368124	-3.3382	accessible_not_acetylated	-1.0612118
chr10	46375589	0.6931472	4.026317	-3.33317	accessible_not_acetylated	-0.8410003
