chr	start	end	k27_obs	k27_pred	ATAC.RPM	err	stratum
chr1	35831	36331	0.0	0.01017	0.0	-0.10032	typical (middle 50%)
chr1	40585	41852	0.0	0.08696	0.95969	0.39193	other
chr1	46246	47168	0.0	0.10356	0.7196	0.32569	other
chr1	68510	69973	0.03995	0.47651	2.10495	0.94565	other
chr1	78687	79577	0.0799	0.05083	0.76439	0.21588	typical (middle 50%)
chr1	87416	88844	0.11985	0.06861	0.89469	0.2407	other
chr1	268584	269297	0.27868	0.08672	0.64918	0.03846	typical (middle 50%)
chr1	778157	779364	7.11987	0.29494	10.16341	-0.44382	other
chr1	795652	797007	0.0	0.09843	1.03479	0.42585	other
chr1	797288	798065	0.03995	0.09582	0.76719	0.29649	other
chr1	804376	805148	0.0	0.25514	2.23246	0.84745	other
chr1	811301	811959	0.11985	0.22232	1.09855	0.43873	other
chr1	812432	812932	0.39657	0.72761	2.23353	0.83312	other
chr1	816659	818338	1.15074	0.71158	4.38281	0.70939	other
chr1	818526	819395	0.63334	0.1323	1.10681	-0.01275	typical (middle 50%)
chr1	826439	828252	9.92797	2.68558	28.76509	0.91586	other
chr1	841877	843226	1.03579	0.37624	7.64954	0.84162	other
chr1	856067	857112	0.11985	0.0787	1.19975	0.34307	other
chr1	857844	859146	0.27868	0.11626	2.20471	0.47899	other
chr1	860062	860862	0.23873	0.08527	0.8332	0.13474	typical (middle 50%)
chr1	869669	870420	0.0	0.017	2.01598	0.59389	other
chr1	876552	877052	0.0	0.07014	0.2491	0.09587	typical (middle 50%)
chr1	898662	899162	0.0	0.07266	0.75521	0.31006	other
chr1	903856	905403	1.98579	0.42196	9.47436	0.61053	other
chr1	906693	907193	0.55539	0.14008	2.51795	0.36227	other
chr1	910593	911598	0.23971	0.15742	2.2665	0.55804	other
chr1	912530	913885	0.31961	0.10962	2.84148	0.55437	other
chr1	918585	919085	0.03995	0.10382	1.18686	0.43645	other
chr1	920974	921474	0.39657	0.25396	5.53409	0.95077	other
chr1	922973	923473	0.43652	0.23873	1.39155	0.28443	other
chr1	923560	924060	0.03995	0.24473	3.37086	0.98784	other
chr1	924380	925090	0.51544	0.15844	2.18383	0.34213	other
chr1	925424	926191	0.23873	0.10127	3.12326	0.65416	other
chr1	930461	933304	0.35956	0.1036	4.94142	0.79069	other
chr1	938026	938526	0.11985	0.08328	3.07937	0.73191	other
chr1	939024	939524	0.2777	0.29882	3.54409	0.8487	other
chr1	940098	942181	0.47745	1.16636	17.66781	2.09495	over-predicted 1%
chr1	942389	942889	0.0799	0.30959	2.18947	0.80471	other
chr1	943190	943690	0.11887	0.16475	1.81739	0.5748	other
chr1	952678	953858	0.19976	0.03973	0.97181	0.16923	typical (middle 50%)
chr1	958325	961551	11.03092	0.37228	16.78102	-0.48909	other
chr1	965696	967484	4.7608	0.71409	13.44576	0.34036	other
chr1	973196	973952	0.03995	0.02791	1.01769	0.31506	other
chr1	975951	976875	0.27966	0.2882	3.59891	0.84642	other
chr1	977975	979241	0.23971	0.19082	3.58041	0.79703	other
chr1	979485	981007	0.51936	0.08925	3.99691	0.55865	other
chr1	981867	982367	0.1598	0.0513	0.59626	0.08258	typical (middle 50%)
chr1	983862	984590	0.3576	0.04076	2.13357	0.33508	other
chr1	998894	999829	2.57427	0.39303	5.40597	0.10387	typical (middle 50%)
chr1	999922	1001037	14.83485	2.18091	17.61684	0.10547	typical (middle 50%)
chr1	1001294	1002204	7.2961	0.65682	10.99411	-0.17416	typical (middle 50%)
chr1	1004839	1005804	5.55688	0.8737	6.07198	-0.14485	typical (middle 50%)
chr1	1012581	1014729	13.29734	0.95733	10.17647	-0.59573	other
chr1	1019330	1021887	5.94365	0.64129	19.649	0.33269	other
chr1	1032309	1032809	0.15882	0.05981	0.82815	0.17595	typical (middle 50%)
chr1	1032946	1033715	0.67231	0.08411	8.32236	0.84635	other
chr1	1039839	1041489	0.95196	0.11769	8.87441	0.75805	other
chr1	1057931	1058719	0.51936	0.51749	4.9688	1.0009	other
chr1	1058764	1060180	3.688	0.63219	15.96933	0.59773	other
chr1	1061987	1062944	0.67721	0.25221	4.66123	0.67697	other
chr1	1063504	1064630	7.04487	0.73117	11.00703	-0.09884	typical (middle 50%)
chr1	1067957	1068871	1.30858	0.42551	3.79059	0.38309	other
chr1	1069125	1070817	2.50417	0.42785	11.40662	0.56	other
chr1	1074052	1075502	0.39853	0.1222	2.88567	0.51468	other
chr1	1079227	1080795	3.85173	1.13502	9.9323	0.55814	other
chr1	1085988	1087069	0.39951	0.05914	1.39139	0.15386	typical (middle 50%)
chr1	1090811	1092036	0.83505	0.0527	4.55928	0.40216	other
chr1	1092170	1092853	0.0799	0.09566	0.98762	0.33184	other
chr1	1109304	1110150	11.43435	0.76474	4.26993	-1.02787	other
chr1	1110317	1111050	3.88874	0.27581	0.97225	-1.03083	other
chr1	1115631	1116606	2.89388	0.48898	23.28908	0.91483	other
chr1	1121513	1122521	0.19878	0.02755	3.17227	0.62501	other
chr1	1123093	1123593	0.03995	0.0479	0.71942	0.2347	other
chr1	1125159	1125659	0.1598	0.03423	0.72676	0.11515	typical (middle 50%)
chr1	1134993	1136758	3.13849	0.22313	4.54988	-0.2621	other
chr1	1136766	1138274	0.31667	0.05216	2.13795	0.37746	other
chr1	1141517	1142981	0.31863	0.06938	2.46641	0.45421	other
chr1	1143213	1144908	0.23971	0.05001	2.985	0.58447	other
chr1	1145007	1145507	0.03995	0.1034	2.12267	0.65791	other
chr1	1148024	1149009	0.23971	0.05924	1.25371	0.23828	other
chr1	1149816	1150578	0.1598	0.02537	0.782	0.12616	typical (middle 50%)
chr1	1156257	1158533	12.04808	0.54905	17.58834	-0.42144	other
chr1	1165787	1166487	0.03995	0.02689	0.76759	0.23166	other
chr1	1167316	1168320	0.11985	0.01956	1.5439	0.3772	other
chr1	1168567	1169298	0.1598	0.02156	0.94125	0.17574	typical (middle 50%)
chr1	1169315	1170441	0.19976	0.02975	1.88644	0.39689	other
chr1	1173358	1174347	0.19976	0.03078	1.27166	0.24874	other
chr1	1179433	1180843	0.15784	0.03682	2.49925	0.55919	other
chr1	1182942	1183641	0.47941	0.02708	1.11073	-0.01014	typical (middle 50%)
chr1	1184010	1184510	0.11887	0.05447	0.82646	0.20541	typical (middle 50%)
chr1	1184517	1186222	3.85075	0.46445	6.56151	-0.04822	typical (middle 50%)
chr1	1198689	1199189	0.11887	0.04299	0.93484	0.23037	other
chr1	1200822	1201960	1.54829	0.24236	7.6042	0.51147	other
chr1	1203598	1204360	0.0799	0.18769	3.02419	0.85177	other
chr1	1204916	1205416	0.15882	0.18413	1.79972	0.5523	other
chr1	1206459	1206959	0.11887	0.02498	0.68476	0.12676	typical (middle 50%)
chr1	1207914	1208663	0.5174	0.16174	2.79926	0.45373	other
chr1	1208817	1209317	0.1598	0.08473	1.5557	0.40698	other
chr1	1209921	1210674	0.19976	0.1471	1.59814	0.43928	other
chr1	1213462	1214418	0.11887	0.05391	1.9564	0.50479	other
chr1	1215195	1215695	0.35662	0.073	0.70644	-0.01216	typical (middle 50%)
chr1	1215735	1216762	0.1598	0.06762	1.95827	0.48218	other
chr1	1222164	1222825	0.11985	0.0614	0.58094	0.12119	typical (middle 50%)
chr1	1230614	1232498	32.16725	2.35637	22.25268	-0.44171	other
chr1	1236957	1237457	0.3576	0.05831	1.0013	0.07258	typical (middle 50%)
chr1	1238285	1238785	0.03995	0.02985	0.9875	0.30756	other
chr1	1239136	1240195	0.47745	0.04887	2.3157	0.29343	other
chr1	1243722	1244659	0.1598	0.03096	1.94986	0.44546	other
chr1	1246472	1246972	0.03995	0.00939	0.22686	-0.01294	typical (middle 50%)
chr1	1249898	1251453	0.99388	0.0968	2.96426	0.1496	typical (middle 50%)
